"Customer ID","cohort_month","Country","Number of unique Invoice","recency","frequency","monetary","r_score","f_score","m_score"
17067.0,2009-12-01 00:00:00.000,United Kingdom,3,"724 days 04:11:00",13,454.54,1,1,2
12941.0,2009-12-01 00:00:00.000,United Kingdom,1,"723 days 23:38:00",27,377.49,1,2,2
16605.0,2009-12-01 00:00:00.000,United Kingdom,1,"723 days 17:47:00",1,60.48,1,1,1
13289.0,2009-12-01 00:00:00.000,United Kingdom,1,"723 days 00:57:00",16,307.95,1,1,2
15499.0,2009-12-01 00:00:00.000,United Kingdom,1,"723 days 00:33:00",42,161.60,1,3,1
18012.0,2009-12-01 00:00:00.000,United Kingdom,1,"722 days 23:34:00",13,115.30,1,1,1
17833.0,2009-12-01 00:00:00.000,United Kingdom,1,"722 days 23:10:00",32,342.36,1,2,2
16195.0,2009-12-01 00:00:00.000,United Kingdom,1,"722 days 22:41:00",16,323.25,1,1,2
16694.0,2009-12-01 00:00:00.000,United Kingdom,1,"722 days 21:05:00",3,98.30,1,1,1
18201.0,2009-12-01 00:00:00.000,United Kingdom,1,"722 days 03:55:00",27,447.53,1,2,2
18186.0,2009-12-01 00:00:00.000,United Kingdom,1,"722 days 02:28:00",11,329.58,1,1,2
14095.0,2009-12-01 00:00:00.000,United Kingdom,1,"722 days 00:01:00",1,2.95,1,1,1
16908.0,2009-12-01 00:00:00.000,United Kingdom,2,"721 days 23:12:00",21,153.59,1,2,1
17103.0,2009-12-01 00:00:00.000,United Kingdom,1,"721 days 22:42:00",32,424.30,1,2,2
16439.0,2009-12-01 00:00:00.000,United Kingdom,1,"721 days 22:28:00",9,310.70,1,1,2
15302.0,2009-12-01 00:00:00.000,United Kingdom,2,"721 days 19:11:00",16,291.05,1,1,2
17927.0,2009-12-01 00:00:00.000,United Kingdom,1,"721 days 01:47:00",10,294.00,1,1,2
13847.0,2009-12-01 00:00:00.000,United Kingdom,1,"719 days 02:09:00",19,310.72,1,2,2
13111.0,2009-12-01 00:00:00.000,United Kingdom,1,"718 days 03:50:00",12,321.88,1,1,2
17632.0,2009-12-01 00:00:00.000,United Kingdom,2,"716 days 22:25:00",2,-12.70,1,1,1
14969.0,2010-01-01 00:00:00.000,United Kingdom,1,"703 days 00:07:00",13,906.23,1,1,3
15409.0,2009-12-01 00:00:00.000,United Kingdom,2,"701 days 00:58:00",12,117.20,1,1,1
15324.0,2010-01-01 00:00:00.000,United Kingdom,1,"700 days 22:13:00",8,140.22,1,1,1
13749.0,2010-01-01 00:00:00.000,United Kingdom,1,"700 days 19:58:00",2,-10.25,1,1,1
18115.0,2010-01-01 00:00:00.000,United Kingdom,1,"697 days 00:53:00",3,9.70,1,1,1
17945.0,2010-01-01 00:00:00.000,United Kingdom,3,"696 days 01:10:00",72,360.35,1,3,2
17352.0,2010-01-01 00:00:00.000,United Kingdom,1,"695 days 20:37:00",5,36.25,1,1,1
16304.0,2010-01-01 00:00:00.000,United Kingdom,1,"694 days 04:20:00",25,381.66,1,2,2
12860.0,2010-01-01 00:00:00.000,United Kingdom,1,"692 days 21:28:00",17,55.47,1,2,1
13907.0,2010-01-01 00:00:00.000,United Kingdom,1,"691 days 00:28:00",4,136.80,1,1,1
14892.0,2010-01-01 00:00:00.000,United Kingdom,1,"690 days 03:52:00",13,202.35,1,1,1
15375.0,2010-01-01 00:00:00.000,United Kingdom,1,"689 days 21:12:00",6,60.96,1,1,1
15697.0,2010-01-01 00:00:00.000,United Kingdom,1,"689 days 03:40:00",14,246.75,1,1,1
16867.0,2010-01-01 00:00:00.000,United Kingdom,1,"689 days 03:39:00",6,76.74,1,1,1
12470.0,2010-01-01 00:00:00.000,Unspecified,1,"689 days 01:49:00",23,211.95,1,2,1
13315.0,2010-01-01 00:00:00.000,United Kingdom,1,"688 days 21:16:00",22,310.26,1,2,2
14983.0,2010-01-01 00:00:00.000,United Kingdom,1,"688 days 19:18:00",30,183.20,1,2,1
13457.0,2009-12-01 00:00:00.000,United Kingdom,4,"688 days 04:02:00",11,143.27,1,1,1
13622.0,2010-01-01 00:00:00.000,United Kingdom,2,"688 days 02:20:00",34,651.45,1,2,3
17875.0,2010-01-01 00:00:00.000,United Kingdom,1,"687 days 21:20:00",26,167.10,1,2,1
14207.0,2010-01-01 00:00:00.000,United Kingdom,1,"687 days 03:17:00",2,157.80,1,1,1
17794.0,2010-01-01 00:00:00.000,United Kingdom,2,"686 days 02:32:00",7,147.30,1,1,1
14274.0,2010-01-01 00:00:00.000,United Kingdom,1,"685 days 23:59:00",15,256.60,1,1,1
14879.0,2010-01-01 00:00:00.000,United Kingdom,1,"684 days 01:15:00",27,185.06,1,2,1
13036.0,2010-01-01 00:00:00.000,United Kingdom,1,"684 days 01:15:00",6,307.10,1,1,2
14070.0,2010-01-01 00:00:00.000,United Kingdom,1,"684 days 00:23:00",42,326.55,1,3,2
14751.0,2009-12-01 00:00:00.000,United Kingdom,2,"683 days 23:13:00",7,126.45,1,1,1
14519.0,2009-12-01 00:00:00.000,United Kingdom,2,"683 days 01:32:00",39,206.09,1,3,1
14376.0,2010-01-01 00:00:00.000,United Kingdom,1,"682 days 21:14:00",18,215.46,1,2,1
12439.0,2009-12-01 00:00:00.000,Cyprus,3,"682 days 00:39:00",75,1104.48,1,3,3
12606.0,2010-01-01 00:00:00.000,Spain,1,"681 days 20:27:00",1,21.00,1,1,1
16154.0,2010-01-01 00:00:00.000,United Kingdom,1,"681 days 20:27:00",1,-10.50,1,1,1
15383.0,2010-01-01 00:00:00.000,United Kingdom,1,"681 days 20:26:00",1,-10.50,1,1,1
13054.0,2010-01-01 00:00:00.000,United Kingdom,1,"681 days 20:26:00",1,-14.00,1,1,1
12382.0,2010-01-01 00:00:00.000,Netherlands,1,"681 days 20:25:00",1,-18.38,1,1,1
12404.0,2010-01-01 00:00:00.000,Finland,1,"681 days 20:25:00",1,63.24,1,1,1
12706.0,2010-01-01 00:00:00.000,Finland,1,"681 days 20:25:00",1,-91.89,1,1,1
16291.0,2010-01-01 00:00:00.000,Portugal,1,"681 days 20:24:00",1,117.72,1,1,1
12466.0,2010-01-01 00:00:00.000,France,1,"681 days 20:24:00",1,56.73,1,1,1
12555.0,2010-01-01 00:00:00.000,Spain,1,"681 days 20:24:00",1,129.23,1,1,1
12846.0,2010-01-01 00:00:00.000,United Kingdom,1,"681 days 20:21:00",1,15.58,1,1,1
16575.0,2010-01-01 00:00:00.000,United Kingdom,1,"681 days 20:20:00",1,-10.49,1,1,1
13664.0,2010-01-01 00:00:00.000,United Kingdom,1,"681 days 20:19:00",1,-13.14,1,1,1
16047.0,2010-01-01 00:00:00.000,EIRE,1,"681 days 20:16:00",1,107.14,1,1,1
15959.0,2010-01-01 00:00:00.000,United Kingdom,3,"681 days 20:12:00",78,579.49,1,4,2
17130.0,2010-01-01 00:00:00.000,United Kingdom,1,"681 days 20:03:00",1,-18.38,1,1,1
15357.0,2010-01-01 00:00:00.000,Unspecified,1,"681 days 20:01:00",1,-36.75,1,1,1
13528.0,2010-01-01 00:00:00.000,United Kingdom,1,"681 days 19:51:00",1,-40.00,1,1,1
12570.0,2010-01-01 00:00:00.000,Spain,1,"681 days 19:22:00",1,77.52,1,1,1
16051.0,2010-01-01 00:00:00.000,United Kingdom,1,"681 days 03:12:00",12,188.44,1,1,1
14137.0,2010-01-01 00:00:00.000,United Kingdom,2,"681 days 02:29:00",14,294.10,1,1,2
12869.0,2010-01-01 00:00:00.000,United Kingdom,1,"681 days 00:40:00",37,337.67,1,2,2
17982.0,2010-01-01 00:00:00.000,United Kingdom,1,"680 days 03:12:00",13,138.18,1,1,1
14613.0,2010-01-01 00:00:00.000,United Kingdom,1,"679 days 23:48:00",1,76.32,1,1,1
16137.0,2010-01-01 00:00:00.000,United Kingdom,1,"679 days 21:46:00",28,422.70,1,2,2
17943.0,2010-01-01 00:00:00.000,United Kingdom,1,"679 days 01:43:00",1,-165.03,1,1,1
15487.0,2010-01-01 00:00:00.000,United Kingdom,1,"679 days 00:43:00",14,231.32,1,1,1
16802.0,2009-12-01 00:00:00.000,United Kingdom,2,"678 days 23:06:00",53,582.61,1,3,2
16673.0,2010-01-01 00:00:00.000,United Kingdom,1,"678 days 22:28:00",20,188.83,1,2,1
15588.0,2010-01-01 00:00:00.000,United Kingdom,1,"677 days 00:31:00",4,579.60,1,1,2
13392.0,2010-01-01 00:00:00.000,United Kingdom,1,"676 days 23:16:00",8,91.14,1,1,1
15338.0,2010-01-01 00:00:00.000,United Kingdom,1,"676 days 22:25:00",60,283.43,1,3,2
14637.0,2010-01-01 00:00:00.000,United Kingdom,1,"676 days 20:58:00",7,106.68,1,1,1
15317.0,2009-12-01 00:00:00.000,United Kingdom,2,"676 days 20:55:00",6,112.05,1,1,1
13628.0,2010-02-01 00:00:00.000,United Kingdom,1,"675 days 22:06:00",16,310.14,1,1,2
18199.0,2010-01-01 00:00:00.000,United Kingdom,2,"675 days 04:11:00",21,342.20,1,2,2
18175.0,2010-02-01 00:00:00.000,United Kingdom,1,"675 days 02:25:00",7,176.10,1,1,1
12848.0,2010-02-01 00:00:00.000,United Kingdom,1,"675 days 00:05:00",16,208.00,1,1,1
13553.0,2010-02-01 00:00:00.000,United Kingdom,1,"674 days 00:29:00",94,517.80,1,4,2
13757.0,2010-02-01 00:00:00.000,United Kingdom,1,"674 days 00:13:00",8,195.55,1,1,1
12396.0,2010-02-01 00:00:00.000,RSA,1,"673 days 23:28:00",65,931.43,1,3,3
14545.0,2010-02-01 00:00:00.000,United Kingdom,1,"673 days 21:27:00",23,349.25,1,2,2
14151.0,2009-12-01 00:00:00.000,United Kingdom,3,"672 days 21:15:00",45,666.70,1,3,3
17328.0,2010-02-01 00:00:00.000,United Kingdom,1,"672 days 19:39:00",6,104.70,1,1,1
13234.0,2009-12-01 00:00:00.000,United Kingdom,2,"672 days 01:09:00",63,356.95,1,3,2
13009.0,2010-02-01 00:00:00.000,United Kingdom,1,"672 days 00:28:00",4,234.00,1,1,1
16082.0,2010-02-01 00:00:00.000,United Kingdom,1,"669 days 21:34:00",16,106.75,1,2,1
14884.0,2010-02-01 00:00:00.000,United Kingdom,1,"668 days 23:54:00",8,120.60,1,1,1
18070.0,2009-12-01 00:00:00.000,United Kingdom,2,"668 days 23:22:00",10,307.75,1,1,2
17319.0,2010-02-01 00:00:00.000,United Kingdom,1,"668 days 21:03:00",3,29.10,1,1,1
17294.0,2010-02-01 00:00:00.000,United Kingdom,2,"668 days 20:38:00",17,467.79,1,2,2
15892.0,2010-02-01 00:00:00.000,United Kingdom,1,"668 days 20:27:00",38,128.20,1,3,1
13119.0,2010-02-01 00:00:00.000,United Kingdom,1,"668 days 04:12:00",11,134.90,1,1,1
15082.0,2010-02-01 00:00:00.000,United Kingdom,1,"668 days 02:27:00",6,93.35,1,1,1
17810.0,2010-01-01 00:00:00.000,United Kingdom,3,"668 days 01:59:00",57,344.86,1,3,2
16436.0,2009-12-01 00:00:00.000,United Kingdom,4,"667 days 23:31:00",43,242.04,1,3,1
16530.0,2010-02-01 00:00:00.000,United Kingdom,1,"667 days 21:20:00",3,48.35,1,1,1
12776.0,2010-02-01 00:00:00.000,Portugal,1,"667 days 00:39:00",4,55.50,1,1,1
17780.0,2010-01-01 00:00:00.000,United Kingdom,3,"666 days 23:07:00",81,352.91,1,4,2
17575.0,2010-02-01 00:00:00.000,United Kingdom,1,"666 days 23:02:00",5,171.70,1,1,1
13442.0,2009-12-01 00:00:00.000,United Kingdom,3,"666 days 22:47:00",38,419.87,1,2,2
16577.0,2010-02-01 00:00:00.000,United Kingdom,1,"666 days 03:05:00",23,380.00,1,2,2
15765.0,2010-02-01 00:00:00.000,United Kingdom,1,"666 days 02:25:00",25,370.63,1,2,2
14072.0,2010-02-01 00:00:00.000,United Kingdom,1,"666 days 00:19:00",19,390.85,1,2,2
14190.0,2010-02-01 00:00:00.000,United Kingdom,1,"665 days 22:23:00",1,79.90,1,1,1
15293.0,2010-02-01 00:00:00.000,United Kingdom,1,"665 days 00:56:00",19,247.50,1,2,1
14103.0,2010-02-01 00:00:00.000,United Kingdom,1,"664 days 21:52:00",1,0.00,1,1,1
14827.0,2010-02-01 00:00:00.000,United Kingdom,1,"664 days 21:03:00",1,0.00,1,1,1
16822.0,2009-12-01 00:00:00.000,United Kingdom,3,"663 days 01:45:00",13,144.84,1,1,1
17108.0,2010-02-01 00:00:00.000,United Kingdom,1,"663 days 00:28:00",9,174.95,1,1,1
15964.0,2010-02-01 00:00:00.000,United Kingdom,1,"662 days 21:20:00",21,272.96,1,2,2
14943.0,2010-02-01 00:00:00.000,United Kingdom,1,"662 days 20:46:00",5,107.62,1,1,1
17136.0,2010-02-01 00:00:00.000,United Kingdom,1,"661 days 23:37:00",14,231.68,1,1,1
15371.0,2010-02-01 00:00:00.000,United Kingdom,1,"661 days 23:36:00",1,59.40,1,1,1
17662.0,2009-12-01 00:00:00.000,United Kingdom,2,"661 days 03:12:00",15,412.92,1,1,2
14989.0,2010-02-01 00:00:00.000,United Kingdom,1,"661 days 02:10:00",18,342.40,1,2,2
17778.0,2010-02-01 00:00:00.000,United Kingdom,1,"661 days 00:06:00",10,197.70,1,1,1
15662.0,2009-12-01 00:00:00.000,United Kingdom,2,"660 days 20:03:00",12,283.73,1,1,2
18285.0,2010-02-01 00:00:00.000,United Kingdom,1,"660 days 02:26:00",12,427.00,1,1,2
18267.0,2010-02-01 00:00:00.000,United Kingdom,2,"659 days 03:38:00",20,252.87,1,2,1
16481.0,2010-01-01 00:00:00.000,United Kingdom,3,"659 days 01:36:00",20,428.23,1,2,2
15693.0,2010-02-01 00:00:00.000,United Kingdom,1,"658 days 22:13:00",1,37.50,1,1,1
17721.0,2010-02-01 00:00:00.000,United Kingdom,1,"658 days 21:32:00",11,307.21,1,1,2
18153.0,2010-02-01 00:00:00.000,United Kingdom,1,"658 days 21:00:00",17,246.22,1,2,1
14244.0,2010-02-01 00:00:00.000,United Kingdom,2,"658 days 19:41:00",20,354.82,1,2,2
13191.0,2010-02-01 00:00:00.000,United Kingdom,1,"657 days 19:48:00",59,164.69,1,3,1
12416.0,2010-02-01 00:00:00.000,Australia,1,"656 days 02:31:00",11,202.56,1,1,1
15928.0,2010-02-01 00:00:00.000,United Kingdom,1,"655 days 21:34:00",11,293.53,1,1,2
14602.0,2010-02-01 00:00:00.000,United Kingdom,1,"655 days 21:03:00",31,205.36,1,2,1
17439.0,2010-02-01 00:00:00.000,United Kingdom,1,"655 days 00:02:00",8,325.74,1,1,2
17195.0,2010-02-01 00:00:00.000,United Kingdom,1,"654 days 23:45:00",31,562.98,1,2,2
14783.0,2010-02-01 00:00:00.000,United Kingdom,2,"654 days 20:42:00",18,305.35,1,2,2
14726.0,2010-02-01 00:00:00.000,United Kingdom,1,"654 days 00:15:00",19,124.75,1,2,1
15295.0,2010-02-01 00:00:00.000,United Kingdom,1,"653 days 23:47:00",53,217.24,1,3,1
13490.0,2010-02-01 00:00:00.000,United Kingdom,1,"653 days 22:02:00",8,154.25,1,1,1
14091.0,2010-01-01 00:00:00.000,United Kingdom,2,"653 days 21:33:00",13,9530.08,1,1,5
16388.0,2010-02-01 00:00:00.000,United Kingdom,1,"653 days 02:30:00",13,186.05,1,1,1
13765.0,2010-02-01 00:00:00.000,United Kingdom,1,"652 days 23:04:00",17,352.82,1,2,2
13944.0,2010-02-01 00:00:00.000,United Kingdom,1,"652 days 21:48:00",35,200.43,1,2,1
13469.0,2010-02-01 00:00:00.000,United Kingdom,1,"652 days 21:47:00",6,82.40,1,1,1
14558.0,2009-12-01 00:00:00.000,United Kingdom,5,"652 days 19:49:00",17,614.10,1,2,3
14402.0,2010-02-01 00:00:00.000,United Kingdom,1,"651 days 23:30:00",8,285.60,1,1,2
13604.0,2010-02-01 00:00:00.000,United Kingdom,2,"651 days 18:12:00",23,713.39,1,2,3
17207.0,2010-02-01 00:00:00.000,United Kingdom,1,"651 days 17:42:00",67,303.22,1,3,2
15477.0,2010-02-01 00:00:00.000,United Kingdom,1,"649 days 02:13:00",2,368.40,1,1,2
18046.0,2010-02-01 00:00:00.000,United Kingdom,1,"649 days 01:14:00",26,189.63,1,2,1
15943.0,2010-01-01 00:00:00.000,United Kingdom,2,"649 days 00:01:00",12,271.29,1,1,2
17209.0,2009-12-01 00:00:00.000,United Kingdom,3,"648 days 20:49:00",40,611.60,1,3,3
14131.0,2010-03-01 00:00:00.000,United Kingdom,1,"648 days 00:51:00",52,187.87,1,3,1
17305.0,2010-03-01 00:00:00.000,United Kingdom,1,"648 days 00:03:00",9,2135.46,1,1,4
16273.0,2010-02-01 00:00:00.000,United Kingdom,2,"647 days 23:26:00",16,336.04,1,1,2
16731.0,2010-03-01 00:00:00.000,United Kingdom,1,"647 days 21:45:00",43,174.05,1,3,1
17116.0,2010-03-01 00:00:00.000,United Kingdom,1,"647 days 20:21:00",47,389.78,1,3,2
15927.0,2010-03-01 00:00:00.000,United Kingdom,1,"646 days 23:25:00",17,123.39,1,2,1
17638.0,2009-12-01 00:00:00.000,United Kingdom,2,"646 days 22:18:00",3,842.40,1,1,3
13793.0,2010-03-01 00:00:00.000,United Kingdom,1,"646 days 04:25:00",7,96.00,1,1,1
18148.0,2010-03-01 00:00:00.000,United Kingdom,1,"646 days 01:10:00",11,114.10,1,1,1
18152.0,2010-03-01 00:00:00.000,United Kingdom,1,"645 days 21:24:00",10,426.69,1,1,2
16285.0,2010-03-01 00:00:00.000,United Kingdom,1,"645 days 20:47:00",31,176.90,1,2,1
15875.0,2010-03-01 00:00:00.000,United Kingdom,1,"645 days 19:59:00",25,111.72,1,2,1
13879.0,2010-03-01 00:00:00.000,United Kingdom,1,"645 days 02:01:00",25,395.50,1,2,2
17577.0,2010-02-01 00:00:00.000,United Kingdom,2,"644 days 23:49:00",21,348.75,1,2,2
14018.0,2010-03-01 00:00:00.000,United Kingdom,1,"644 days 22:27:00",13,367.15,1,1,2
12568.0,2010-03-01 00:00:00.000,Germany,1,"644 days 03:35:00",5,70.00,1,1,1
15929.0,2010-03-01 00:00:00.000,United Kingdom,1,"643 days 21:54:00",1,594.00,1,1,3
18253.0,2010-03-01 00:00:00.000,United Kingdom,1,"642 days 00:12:00",7,317.88,1,1,2
15631.0,2010-03-01 00:00:00.000,United Kingdom,1,"641 days 21:58:00",39,596.67,1,3,3
18029.0,2010-03-01 00:00:00.000,United Kingdom,1,"641 days 21:20:00",18,433.77,1,2,2
16534.0,2010-03-01 00:00:00.000,United Kingdom,1,"641 days 21:03:00",36,635.90,1,2,3
14369.0,2010-02-01 00:00:00.000,United Kingdom,2,"641 days 21:03:00",26,469.13,1,2,2
16537.0,2010-03-01 00:00:00.000,United Kingdom,1,"640 days 23:09:00",4,23.35,1,1,1
17488.0,2010-03-01 00:00:00.000,United Kingdom,1,"640 days 22:43:00",18,336.50,1,2,2
13454.0,2010-03-01 00:00:00.000,United Kingdom,1,"640 days 22:10:00",23,219.87,1,2,1
15767.0,2009-12-01 00:00:00.000,United Kingdom,2,"640 days 21:02:00",9,-242.70,1,1,1
17661.0,2010-03-01 00:00:00.000,United Kingdom,1,"640 days 20:22:00",1,-54.00,1,1,1
15250.0,2010-03-01 00:00:00.000,United Kingdom,1,"640 days 05:15:00",3,60.00,1,1,1
13641.0,2009-12-01 00:00:00.000,United Kingdom,7,"640 days 05:13:00",50,921.82,1,3,3
