"Customer ID","cohort_month","Revenue For the Client","Country","Number of unique Invoice","r_score","f_score","m_score"
14123.0,2009-12-01 00:00:00.000,436.18,United Kingdom,1,1,2,2
14003.0,2009-12-01 00:00:00.000,209.41,United Kingdom,1,1,1,1
14955.0,2009-12-01 00:00:00.000,163.77,United Kingdom,1,1,2,1
14574.0,2009-12-01 00:00:00.000,143.70,United Kingdom,1,1,1,1
18162.0,2009-12-01 00:00:00.000,379.16,United Kingdom,1,1,3,2
17441.0,2009-12-01 00:00:00.000,293.35,United Kingdom,1,1,2,2
12443.0,2009-12-01 00:00:00.000,485.31,Norway,1,1,2,2
14763.0,2009-12-01 00:00:00.000,-9.95,United Kingdom,1,1,1,1
13025.0,2009-12-01 00:00:00.000,323.39,United Kingdom,1,1,1,2
14925.0,2009-12-01 00:00:00.000,-7.95,United Kingdom,1,1,1,1
14337.0,2009-12-01 00:00:00.000,-658.63,United Kingdom,1,1,2,1
16703.0,2009-12-01 00:00:00.000,-15.00,United Kingdom,1,1,1,1
13204.0,2009-12-01 00:00:00.000,966.66,United Kingdom,1,1,3,3
15924.0,2009-12-01 00:00:00.000,102.82,United Kingdom,1,1,1,1
17178.0,2009-12-01 00:00:00.000,436.71,United Kingdom,1,1,2,2
14864.0,2009-12-01 00:00:00.000,-48.75,United Kingdom,1,1,1,1
16853.0,2009-12-01 00:00:00.000,-67.50,United Kingdom,1,1,1,1
12896.0,2009-12-01 00:00:00.000,-29.75,United Kingdom,1,1,1,1
13114.0,2009-12-01 00:00:00.000,234.38,United Kingdom,1,1,1,1
12487.0,2009-12-01 00:00:00.000,259.80,Sweden,2,1,1,2
17296.0,2009-12-01 00:00:00.000,338.13,United Kingdom,1,1,2,2
13498.0,2009-12-01 00:00:00.000,327.38,United Kingdom,1,1,2,2
15209.0,2009-12-01 00:00:00.000,178.98,United Kingdom,1,1,1,1
15085.0,2009-12-01 00:00:00.000,347.54,United Kingdom,1,1,1,2
15642.0,2009-12-01 00:00:00.000,105.78,United Kingdom,1,1,1,1
16459.0,2009-12-01 00:00:00.000,71.79,United Kingdom,1,1,1,1
16663.0,2009-12-01 00:00:00.000,165.00,United Kingdom,1,1,1,1
12979.0,2009-12-01 00:00:00.000,479.54,United Arab Emirates,2,1,3,2
16901.0,2009-12-01 00:00:00.000,204.26,United Kingdom,1,1,2,1
15162.0,2009-12-01 00:00:00.000,241.50,United Kingdom,2,1,1,1
16580.0,2009-12-01 00:00:00.000,-5.00,United Kingdom,1,1,1,1
17645.0,2009-12-01 00:00:00.000,-9.90,United Kingdom,1,1,1,1
16220.0,2009-12-01 00:00:00.000,-10.17,United Kingdom,1,1,1,1
16512.0,2009-12-01 00:00:00.000,-33.90,United Kingdom,1,1,1,1
17487.0,2009-12-01 00:00:00.000,160.55,United Kingdom,1,1,1,1
17066.0,2009-12-01 00:00:00.000,228.34,United Kingdom,1,1,2,1
13087.0,2009-12-01 00:00:00.000,313.64,United Kingdom,1,1,1,2
17910.0,2009-12-01 00:00:00.000,261.70,United Kingdom,1,1,2,2
14977.0,2009-12-01 00:00:00.000,31.93,United Kingdom,1,1,1,1
15534.0,2009-12-01 00:00:00.000,162.25,United Kingdom,1,1,1,1
17318.0,2009-12-01 00:00:00.000,164.28,United Kingdom,1,1,2,1
15188.0,2009-12-01 00:00:00.000,310.43,United Kingdom,1,1,2,2
14042.0,2009-12-01 00:00:00.000,431.98,United Kingdom,1,1,2,2
16280.0,2009-12-01 00:00:00.000,238.05,United Kingdom,1,1,1,1
16064.0,2009-12-01 00:00:00.000,111.00,United Kingdom,1,1,2,1
12992.0,2009-12-01 00:00:00.000,93.35,United Kingdom,1,1,1,1
15672.0,2009-12-01 00:00:00.000,45.30,United Kingdom,1,1,1,1
17012.0,2009-12-01 00:00:00.000,384.16,United Kingdom,1,1,3,2
17067.0,2009-12-01 00:00:00.000,454.54,United Kingdom,3,1,1,2
12941.0,2009-12-01 00:00:00.000,377.49,United Kingdom,1,1,2,2
16605.0,2009-12-01 00:00:00.000,60.48,United Kingdom,1,1,1,1
13289.0,2009-12-01 00:00:00.000,307.95,United Kingdom,1,1,1,2
15499.0,2009-12-01 00:00:00.000,161.60,United Kingdom,1,1,3,1
18012.0,2009-12-01 00:00:00.000,115.30,United Kingdom,1,1,1,1
17833.0,2009-12-01 00:00:00.000,342.36,United Kingdom,1,1,2,2
16195.0,2009-12-01 00:00:00.000,323.25,United Kingdom,1,1,1,2
16694.0,2009-12-01 00:00:00.000,98.30,United Kingdom,1,1,1,1
18201.0,2009-12-01 00:00:00.000,447.53,United Kingdom,1,1,2,2
18186.0,2009-12-01 00:00:00.000,329.58,United Kingdom,1,1,1,2
14095.0,2009-12-01 00:00:00.000,2.95,United Kingdom,1,1,1,1
16908.0,2009-12-01 00:00:00.000,153.59,United Kingdom,2,1,2,1
17103.0,2009-12-01 00:00:00.000,424.30,United Kingdom,1,1,2,2
16439.0,2009-12-01 00:00:00.000,310.70,United Kingdom,1,1,1,2
15302.0,2009-12-01 00:00:00.000,291.05,United Kingdom,2,1,1,2
17927.0,2009-12-01 00:00:00.000,294.00,United Kingdom,1,1,1,2
13847.0,2009-12-01 00:00:00.000,310.72,United Kingdom,1,1,2,2
13111.0,2009-12-01 00:00:00.000,321.88,United Kingdom,1,1,1,2
17632.0,2009-12-01 00:00:00.000,-12.70,United Kingdom,2,1,1,1
14969.0,2010-01-01 00:00:00.000,906.23,United Kingdom,1,1,1,3
15409.0,2009-12-01 00:00:00.000,117.20,United Kingdom,2,1,1,1
15324.0,2010-01-01 00:00:00.000,140.22,United Kingdom,1,1,1,1
13749.0,2010-01-01 00:00:00.000,-10.25,United Kingdom,1,1,1,1
18115.0,2010-01-01 00:00:00.000,9.70,United Kingdom,1,1,1,1
17945.0,2010-01-01 00:00:00.000,360.35,United Kingdom,3,1,3,2
17352.0,2010-01-01 00:00:00.000,36.25,United Kingdom,1,1,1,1
16304.0,2010-01-01 00:00:00.000,381.66,United Kingdom,1,1,2,2
12860.0,2010-01-01 00:00:00.000,55.47,United Kingdom,1,1,2,1
13907.0,2010-01-01 00:00:00.000,136.80,United Kingdom,1,1,1,1
14892.0,2010-01-01 00:00:00.000,202.35,United Kingdom,1,1,1,1
15375.0,2010-01-01 00:00:00.000,60.96,United Kingdom,1,1,1,1
15697.0,2010-01-01 00:00:00.000,246.75,United Kingdom,1,1,1,1
16867.0,2010-01-01 00:00:00.000,76.74,United Kingdom,1,1,1,1
12470.0,2010-01-01 00:00:00.000,211.95,Unspecified,1,1,2,1
13315.0,2010-01-01 00:00:00.000,310.26,United Kingdom,1,1,2,2
14983.0,2010-01-01 00:00:00.000,183.20,United Kingdom,1,1,2,1
13457.0,2009-12-01 00:00:00.000,143.27,United Kingdom,4,1,1,1
13622.0,2010-01-01 00:00:00.000,651.45,United Kingdom,2,1,2,3
17875.0,2010-01-01 00:00:00.000,167.10,United Kingdom,1,1,2,1
14207.0,2010-01-01 00:00:00.000,157.80,United Kingdom,1,1,1,1
17794.0,2010-01-01 00:00:00.000,147.30,United Kingdom,2,1,1,1
14274.0,2010-01-01 00:00:00.000,256.60,United Kingdom,1,1,1,1
14879.0,2010-01-01 00:00:00.000,185.06,United Kingdom,1,1,2,1
13036.0,2010-01-01 00:00:00.000,307.10,United Kingdom,1,1,1,2
14070.0,2010-01-01 00:00:00.000,326.55,United Kingdom,1,1,3,2
14751.0,2009-12-01 00:00:00.000,126.45,United Kingdom,2,1,1,1
14519.0,2009-12-01 00:00:00.000,206.09,United Kingdom,2,1,3,1
14376.0,2010-01-01 00:00:00.000,215.46,United Kingdom,1,1,2,1
12439.0,2009-12-01 00:00:00.000,1104.48,Cyprus,3,1,3,3
12606.0,2010-01-01 00:00:00.000,21.00,Spain,1,1,1,1
16154.0,2010-01-01 00:00:00.000,-10.50,United Kingdom,1,1,1,1
15383.0,2010-01-01 00:00:00.000,-10.50,United Kingdom,1,1,1,1
13054.0,2010-01-01 00:00:00.000,-14.00,United Kingdom,1,1,1,1
12382.0,2010-01-01 00:00:00.000,-18.38,Netherlands,1,1,1,1
12404.0,2010-01-01 00:00:00.000,63.24,Finland,1,1,1,1
12706.0,2010-01-01 00:00:00.000,-91.89,Finland,1,1,1,1
16291.0,2010-01-01 00:00:00.000,117.72,Portugal,1,1,1,1
12466.0,2010-01-01 00:00:00.000,56.73,France,1,1,1,1
12555.0,2010-01-01 00:00:00.000,129.23,Spain,1,1,1,1
12846.0,2010-01-01 00:00:00.000,15.58,United Kingdom,1,1,1,1
16575.0,2010-01-01 00:00:00.000,-10.49,United Kingdom,1,1,1,1
13664.0,2010-01-01 00:00:00.000,-13.14,United Kingdom,1,1,1,1
16047.0,2010-01-01 00:00:00.000,107.14,EIRE,1,1,1,1
15959.0,2010-01-01 00:00:00.000,579.49,United Kingdom,3,1,4,2
17130.0,2010-01-01 00:00:00.000,-18.38,United Kingdom,1,1,1,1
15357.0,2010-01-01 00:00:00.000,-36.75,Unspecified,1,1,1,1
13528.0,2010-01-01 00:00:00.000,-40.00,United Kingdom,1,1,1,1
12570.0,2010-01-01 00:00:00.000,77.52,Spain,1,1,1,1
16051.0,2010-01-01 00:00:00.000,188.44,United Kingdom,1,1,1,1
14137.0,2010-01-01 00:00:00.000,294.10,United Kingdom,2,1,1,2
12869.0,2010-01-01 00:00:00.000,337.67,United Kingdom,1,1,2,2
17982.0,2010-01-01 00:00:00.000,138.18,United Kingdom,1,1,1,1
14613.0,2010-01-01 00:00:00.000,76.32,United Kingdom,1,1,1,1
16137.0,2010-01-01 00:00:00.000,422.70,United Kingdom,1,1,2,2
17943.0,2010-01-01 00:00:00.000,-165.03,United Kingdom,1,1,1,1
15487.0,2010-01-01 00:00:00.000,231.32,United Kingdom,1,1,1,1
16802.0,2009-12-01 00:00:00.000,582.61,United Kingdom,2,1,3,2
16673.0,2010-01-01 00:00:00.000,188.83,United Kingdom,1,1,2,1
15588.0,2010-01-01 00:00:00.000,579.60,United Kingdom,1,1,1,2
13392.0,2010-01-01 00:00:00.000,91.14,United Kingdom,1,1,1,1
15338.0,2010-01-01 00:00:00.000,283.43,United Kingdom,1,1,3,2
14637.0,2010-01-01 00:00:00.000,106.68,United Kingdom,1,1,1,1
15317.0,2009-12-01 00:00:00.000,112.05,United Kingdom,2,1,1,1
13628.0,2010-02-01 00:00:00.000,310.14,United Kingdom,1,1,1,2
18199.0,2010-01-01 00:00:00.000,342.20,United Kingdom,2,1,2,2
18175.0,2010-02-01 00:00:00.000,176.10,United Kingdom,1,1,1,1
12848.0,2010-02-01 00:00:00.000,208.00,United Kingdom,1,1,1,1
13553.0,2010-02-01 00:00:00.000,517.80,United Kingdom,1,1,4,2
13757.0,2010-02-01 00:00:00.000,195.55,United Kingdom,1,1,1,1
12396.0,2010-02-01 00:00:00.000,931.43,RSA,1,1,3,3
14545.0,2010-02-01 00:00:00.000,349.25,United Kingdom,1,1,2,2
14151.0,2009-12-01 00:00:00.000,666.70,United Kingdom,3,1,3,3
17328.0,2010-02-01 00:00:00.000,104.70,United Kingdom,1,1,1,1
13234.0,2009-12-01 00:00:00.000,356.95,United Kingdom,2,1,3,2
13009.0,2010-02-01 00:00:00.000,234.00,United Kingdom,1,1,1,1
16082.0,2010-02-01 00:00:00.000,106.75,United Kingdom,1,1,2,1
14884.0,2010-02-01 00:00:00.000,120.60,United Kingdom,1,1,1,1
18070.0,2009-12-01 00:00:00.000,307.75,United Kingdom,2,1,1,2
17319.0,2010-02-01 00:00:00.000,29.10,United Kingdom,1,1,1,1
17294.0,2010-02-01 00:00:00.000,467.79,United Kingdom,2,1,2,2
15892.0,2010-02-01 00:00:00.000,128.20,United Kingdom,1,1,3,1
13119.0,2010-02-01 00:00:00.000,134.90,United Kingdom,1,1,1,1
15082.0,2010-02-01 00:00:00.000,93.35,United Kingdom,1,1,1,1
17810.0,2010-01-01 00:00:00.000,344.86,United Kingdom,3,1,3,2
16436.0,2009-12-01 00:00:00.000,242.04,United Kingdom,4,1,3,1
16530.0,2010-02-01 00:00:00.000,48.35,United Kingdom,1,1,1,1
12776.0,2010-02-01 00:00:00.000,55.50,Portugal,1,1,1,1
17780.0,2010-01-01 00:00:00.000,352.91,United Kingdom,3,1,4,2
17575.0,2010-02-01 00:00:00.000,171.70,United Kingdom,1,1,1,1
13442.0,2009-12-01 00:00:00.000,419.87,United Kingdom,3,1,2,2
16577.0,2010-02-01 00:00:00.000,380.00,United Kingdom,1,1,2,2
15765.0,2010-02-01 00:00:00.000,370.63,United Kingdom,1,1,2,2
14072.0,2010-02-01 00:00:00.000,390.85,United Kingdom,1,1,2,2
14190.0,2010-02-01 00:00:00.000,79.90,United Kingdom,1,1,1,1
15293.0,2010-02-01 00:00:00.000,247.50,United Kingdom,1,1,2,1
14103.0,2010-02-01 00:00:00.000,0.00,United Kingdom,1,1,1,1
14827.0,2010-02-01 00:00:00.000,0.00,United Kingdom,1,1,1,1
16822.0,2009-12-01 00:00:00.000,144.84,United Kingdom,3,1,1,1
17108.0,2010-02-01 00:00:00.000,174.95,United Kingdom,1,1,1,1
15964.0,2010-02-01 00:00:00.000,272.96,United Kingdom,1,1,2,2
14943.0,2010-02-01 00:00:00.000,107.62,United Kingdom,1,1,1,1
17136.0,2010-02-01 00:00:00.000,231.68,United Kingdom,1,1,1,1
15371.0,2010-02-01 00:00:00.000,59.40,United Kingdom,1,1,1,1
17662.0,2009-12-01 00:00:00.000,412.92,United Kingdom,2,1,1,2
14989.0,2010-02-01 00:00:00.000,342.40,United Kingdom,1,1,2,2
17778.0,2010-02-01 00:00:00.000,197.70,United Kingdom,1,1,1,1
15662.0,2009-12-01 00:00:00.000,283.73,United Kingdom,2,1,1,2
18285.0,2010-02-01 00:00:00.000,427.00,United Kingdom,1,1,1,2
18267.0,2010-02-01 00:00:00.000,252.87,United Kingdom,2,1,2,1
16481.0,2010-01-01 00:00:00.000,428.23,United Kingdom,3,1,2,2
15693.0,2010-02-01 00:00:00.000,37.50,United Kingdom,1,1,1,1
17721.0,2010-02-01 00:00:00.000,307.21,United Kingdom,1,1,1,2
18153.0,2010-02-01 00:00:00.000,246.22,United Kingdom,1,1,2,1
14244.0,2010-02-01 00:00:00.000,354.82,United Kingdom,2,1,2,2
13191.0,2010-02-01 00:00:00.000,164.69,United Kingdom,1,1,3,1
12416.0,2010-02-01 00:00:00.000,202.56,Australia,1,1,1,1
15928.0,2010-02-01 00:00:00.000,293.53,United Kingdom,1,1,1,2
14602.0,2010-02-01 00:00:00.000,205.36,United Kingdom,1,1,2,1
17439.0,2010-02-01 00:00:00.000,325.74,United Kingdom,1,1,1,2
17195.0,2010-02-01 00:00:00.000,562.98,United Kingdom,1,1,2,2
14783.0,2010-02-01 00:00:00.000,305.35,United Kingdom,2,1,2,2
14726.0,2010-02-01 00:00:00.000,124.75,United Kingdom,1,1,2,1
15295.0,2010-02-01 00:00:00.000,217.24,United Kingdom,1,1,3,1
13490.0,2010-02-01 00:00:00.000,154.25,United Kingdom,1,1,1,1
14091.0,2010-01-01 00:00:00.000,9530.08,United Kingdom,2,1,1,5
16388.0,2010-02-01 00:00:00.000,186.05,United Kingdom,1,1,1,1
13765.0,2010-02-01 00:00:00.000,352.82,United Kingdom,1,1,2,2
13944.0,2010-02-01 00:00:00.000,200.43,United Kingdom,1,1,2,1
13469.0,2010-02-01 00:00:00.000,82.40,United Kingdom,1,1,1,1
14558.0,2009-12-01 00:00:00.000,614.10,United Kingdom,5,1,2,3
14402.0,2010-02-01 00:00:00.000,285.60,United Kingdom,1,1,1,2
13604.0,2010-02-01 00:00:00.000,713.39,United Kingdom,2,1,2,3
17207.0,2010-02-01 00:00:00.000,303.22,United Kingdom,1,1,3,2
15477.0,2010-02-01 00:00:00.000,368.40,United Kingdom,1,1,1,2
18046.0,2010-02-01 00:00:00.000,189.63,United Kingdom,1,1,2,1
15943.0,2010-01-01 00:00:00.000,271.29,United Kingdom,2,1,1,2
17209.0,2009-12-01 00:00:00.000,611.60,United Kingdom,3,1,3,3
14131.0,2010-03-01 00:00:00.000,187.87,United Kingdom,1,1,3,1
17305.0,2010-03-01 00:00:00.000,2135.46,United Kingdom,1,1,1,4
16273.0,2010-02-01 00:00:00.000,336.04,United Kingdom,2,1,1,2
16731.0,2010-03-01 00:00:00.000,174.05,United Kingdom,1,1,3,1
17116.0,2010-03-01 00:00:00.000,389.78,United Kingdom,1,1,3,2
15927.0,2010-03-01 00:00:00.000,123.39,United Kingdom,1,1,2,1
17638.0,2009-12-01 00:00:00.000,842.40,United Kingdom,2,1,1,3
13793.0,2010-03-01 00:00:00.000,96.00,United Kingdom,1,1,1,1
18148.0,2010-03-01 00:00:00.000,114.10,United Kingdom,1,1,1,1
18152.0,2010-03-01 00:00:00.000,426.69,United Kingdom,1,1,1,2
16285.0,2010-03-01 00:00:00.000,176.90,United Kingdom,1,1,2,1
15875.0,2010-03-01 00:00:00.000,111.72,United Kingdom,1,1,2,1
13879.0,2010-03-01 00:00:00.000,395.50,United Kingdom,1,1,2,2
17577.0,2010-02-01 00:00:00.000,348.75,United Kingdom,2,1,2,2
14018.0,2010-03-01 00:00:00.000,367.15,United Kingdom,1,1,1,2
12568.0,2010-03-01 00:00:00.000,70.00,Germany,1,1,1,1
15929.0,2010-03-01 00:00:00.000,594.00,United Kingdom,1,1,1,3
18253.0,2010-03-01 00:00:00.000,317.88,United Kingdom,1,1,1,2
15631.0,2010-03-01 00:00:00.000,596.67,United Kingdom,1,1,3,3
18029.0,2010-03-01 00:00:00.000,433.77,United Kingdom,1,1,2,2
16534.0,2010-03-01 00:00:00.000,635.90,United Kingdom,1,1,2,3
14369.0,2010-02-01 00:00:00.000,469.13,United Kingdom,2,1,2,2
16537.0,2010-03-01 00:00:00.000,23.35,United Kingdom,1,1,1,1
17488.0,2010-03-01 00:00:00.000,336.50,United Kingdom,1,1,2,2
13454.0,2010-03-01 00:00:00.000,219.87,United Kingdom,1,1,2,1
15767.0,2009-12-01 00:00:00.000,-242.70,United Kingdom,2,1,1,1
17661.0,2010-03-01 00:00:00.000,-54.00,United Kingdom,1,1,1,1
15250.0,2010-03-01 00:00:00.000,60.00,United Kingdom,1,1,1,1
13641.0,2009-12-01 00:00:00.000,921.82,United Kingdom,7,1,3,3
17907.0,2010-03-01 00:00:00.000,291.76,United Kingdom,1,1,1,2
13413.0,2010-01-01 00:00:00.000,345.80,United Kingdom,8,1,3,2
15558.0,2010-03-01 00:00:00.000,143.33,United Kingdom,2,1,2,1
12954.0,2010-03-01 00:00:00.000,162.45,United Kingdom,1,1,1,1
12692.0,2010-03-01 00:00:00.000,110.95,France,1,1,1,1
13724.0,2010-03-01 00:00:00.000,213.01,United Kingdom,1,1,3,1
13688.0,2010-03-01 00:00:00.000,375.50,United Kingdom,1,1,1,2
12495.0,2010-03-01 00:00:00.000,323.40,Sweden,2,1,2,2
13543.0,2010-01-01 00:00:00.000,1439.61,United Kingdom,2,1,3,4
18051.0,2009-12-01 00:00:00.000,2275.98,United Kingdom,8,1,3,4
13530.0,2010-03-01 00:00:00.000,402.98,United Kingdom,1,1,2,2
12366.0,2010-03-01 00:00:00.000,500.24,Cyprus,1,1,1,2
14604.0,2010-03-01 00:00:00.000,143.86,United Kingdom,1,1,2,1
17568.0,2010-03-01 00:00:00.000,382.79,United Kingdom,1,1,3,2
17479.0,2010-03-01 00:00:00.000,389.26,United Kingdom,1,1,2,2
13902.0,2009-12-01 00:00:00.000,30411.26,Denmark,8,1,3,5
17933.0,2010-03-01 00:00:00.000,114.69,United Kingdom,1,1,1,1
18131.0,2010-03-01 00:00:00.000,222.96,United Kingdom,1,1,1,1
15496.0,2010-03-01 00:00:00.000,146.14,United Kingdom,1,1,2,1
13128.0,2010-03-01 00:00:00.000,263.50,United Kingdom,1,1,1,2
15760.0,2010-03-01 00:00:00.000,-5795.87,Norway,5,1,1,1
17445.0,2010-03-01 00:00:00.000,-506.51,United Kingdom,1,1,1,1
14939.0,2010-03-01 00:00:00.000,-934.66,Channel Islands,1,1,1,1
16452.0,2010-01-01 00:00:00.000,332.17,United Kingdom,2,1,2,2
16508.0,2010-03-01 00:00:00.000,248.80,United Kingdom,1,1,3,1
16514.0,2010-03-01 00:00:00.000,-134.86,United Kingdom,1,1,1,1
14832.0,2010-03-01 00:00:00.000,-274.63,United Kingdom,3,1,1,1
17916.0,2009-12-01 00:00:00.000,43.87,United Kingdom,2,1,2,1
17285.0,2010-02-01 00:00:00.000,428.34,United Kingdom,2,1,3,2
17587.0,2010-03-01 00:00:00.000,181.66,United Kingdom,1,1,3,1
16397.0,2010-03-01 00:00:00.000,127.88,United Kingdom,1,1,1,1
12796.0,2010-03-01 00:00:00.000,381.00,Netherlands,1,1,1,2
12368.0,2010-03-01 00:00:00.000,917.70,Cyprus,1,1,2,3
16911.0,2010-02-01 00:00:00.000,251.35,United Kingdom,3,1,2,1
14596.0,2010-03-01 00:00:00.000,229.47,United Kingdom,1,1,3,1
16296.0,2009-12-01 00:00:00.000,1245.97,United Kingdom,6,1,4,4
16970.0,2010-03-01 00:00:00.000,71.40,United Kingdom,1,1,1,1
16578.0,2010-03-01 00:00:00.000,156.60,United Kingdom,1,1,1,1
12918.0,2010-03-01 00:00:00.000,-10953.50,United Kingdom,3,1,1,1
13445.0,2010-03-01 00:00:00.000,241.90,United Kingdom,1,1,1,1
16994.0,2010-03-01 00:00:00.000,-779.32,United Kingdom,1,1,1,1
13896.0,2010-03-01 00:00:00.000,388.55,United Kingdom,1,1,2,2
16002.0,2010-03-01 00:00:00.000,169.21,United Kingdom,1,1,3,1
16741.0,2010-03-01 00:00:00.000,173.06,United Kingdom,1,1,1,1
17072.0,2010-03-01 00:00:00.000,282.05,United Kingdom,1,1,2,2
12663.0,2010-02-01 00:00:00.000,204.00,Germany,3,1,1,1
13459.0,2010-01-01 00:00:00.000,1160.41,United Kingdom,2,1,3,3
15896.0,2010-03-01 00:00:00.000,-1899.67,United Kingdom,1,1,1,1
13100.0,2010-03-01 00:00:00.000,-1598.67,United Kingdom,1,1,1,1
16090.0,2010-03-01 00:00:00.000,205.91,United Kingdom,1,1,2,1
13409.0,2010-03-01 00:00:00.000,-525.65,United Kingdom,1,1,1,1
13401.0,2010-03-01 00:00:00.000,-1834.14,United Kingdom,1,1,1,1
14313.0,2010-03-01 00:00:00.000,-302.31,United Kingdom,1,1,1,1
15698.0,2010-03-01 00:00:00.000,46.20,United Kingdom,1,1,1,1
14330.0,2010-03-01 00:00:00.000,200.63,United Kingdom,1,1,1,1
18166.0,2010-03-01 00:00:00.000,175.50,United Kingdom,1,1,1,1
14074.0,2010-03-01 00:00:00.000,219.40,United Kingdom,1,1,1,1
18187.0,2010-03-01 00:00:00.000,682.19,United Kingdom,3,1,3,3
15848.0,2010-03-01 00:00:00.000,139.94,United Kingdom,1,1,2,1
13825.0,2009-12-01 00:00:00.000,255.59,United Kingdom,2,1,3,1
13053.0,2010-03-01 00:00:00.000,127.65,United Kingdom,1,1,2,1
14378.0,2010-03-01 00:00:00.000,131.25,United Kingdom,1,1,1,1
14809.0,2010-03-01 00:00:00.000,686.76,United Kingdom,2,1,2,3
16502.0,2010-03-01 00:00:00.000,266.50,United Kingdom,2,1,3,2
12496.0,2010-03-01 00:00:00.000,54.09,Spain,2,1,1,1
13412.0,2010-03-01 00:00:00.000,487.35,United Kingdom,1,1,2,2
12861.0,2010-03-01 00:00:00.000,68.25,United Kingdom,1,1,1,1
15575.0,2010-03-01 00:00:00.000,30.10,United Kingdom,1,1,1,1
17586.0,2010-03-01 00:00:00.000,167.40,United Kingdom,1,1,1,1
15742.0,2010-03-01 00:00:00.000,156.87,United Kingdom,1,1,3,1
14928.0,2010-03-01 00:00:00.000,204.46,United Kingdom,2,1,2,1
12533.0,2009-12-01 00:00:00.000,1149.99,Germany,6,1,4,3
14706.0,2010-03-01 00:00:00.000,390.69,United Kingdom,1,1,2,2
13179.0,2010-03-01 00:00:00.000,572.31,United Kingdom,1,1,2,2
16845.0,2010-03-01 00:00:00.000,253.88,United Kingdom,1,1,2,1
16704.0,2010-02-01 00:00:00.000,695.66,United Kingdom,2,1,3,3
13219.0,2010-03-01 00:00:00.000,76.23,United Kingdom,1,1,1,1
15029.0,2010-03-01 00:00:00.000,362.15,United Kingdom,2,1,1,2
14200.0,2010-04-01 00:00:00.000,379.20,United Kingdom,1,1,2,2
15997.0,2010-04-01 00:00:00.000,-23.40,United Kingdom,1,1,1,1
17993.0,2010-04-01 00:00:00.000,235.19,United Kingdom,1,1,3,1
17539.0,2009-12-01 00:00:00.000,1047.07,United Kingdom,7,1,4,3
14694.0,2010-04-01 00:00:00.000,244.31,United Kingdom,1,1,1,1
17477.0,2010-03-01 00:00:00.000,1079.00,United Kingdom,5,1,3,3
15770.0,2010-04-01 00:00:00.000,321.45,United Kingdom,1,1,2,2
13071.0,2010-04-01 00:00:00.000,129.22,United Kingdom,1,1,1,1
14990.0,2009-12-01 00:00:00.000,305.42,United Kingdom,2,1,3,2
16941.0,2010-04-01 00:00:00.000,33.00,United Kingdom,1,1,1,1
12711.0,2010-02-01 00:00:00.000,1339.05,Germany,2,1,3,4
