"Customer ID","recency","frequency","monetary"
16611.0,"185 days 21:04:00",111,1776.63
16581.0,"154 days 21:00:00",11,70.44
14356.0,"59 days 19:34:00",38,666.94
12682.0,"3 days 02:50:00",1042,23945.81
15366.0,"74 days 21:49:00",138,2389.08
13598.0,"46 days 22:15:00",100,776.84
14693.0,"264 days",76,1139.86
12895.0,"41 days 22:59:00",24,347.30
13068.0,"9 days 21:50:00",2,344.00
16150.0,"38 days 03:21:00",273,4154.69
16555.0,"34 days 22:19:00",115,285.89
14307.0,"88 days 03:12:00",311,5063.08
15325.0,"103 days 00:55:00",226,1596.81
14895.0,"7 days 03:27:00",919,24488.82
18217.0,"28 days 23:32:00",44,902.80
17965.0,"37 days 03:19:00",864,7117.78
16613.0,"69 days 20:58:00",30,618.59
17851.0,"421 days 21:37:00",237,1563.34
15963.0,"19 days 01:17:00",28,470.76
17290.0,"3 days 00:12:00",203,1501.44
17567.0,"6 days 21:02:00",235,5037.11
14626.0,"8 days 03:55:00",237,5374.77
17364.0,"03:50:00",925,11684.55
17830.0,"1 day 00:22:00",23,398.70
13879.0,"645 days 02:01:00",25,395.50
16765.0,"293 days 21:09:00",52,454.75
15434.0,"7 days 23:17:00",139,2517.11
14161.0,"215 days 01:09:00",310,3318.88
16778.0,"73 days 23:02:00",16,245.94
18256.0,"354 days 04:23:00",14,60.60
15670.0,"296 days 02:00:00",20,315.20
17211.0,"26 days 00:47:00",380,4002.10
16233.0,"70 days 19:23:00",81,1818.71
13054.0,"681 days 20:26:00",1,-14.00
13321.0,"71 days 21:26:00",11,567.36
14159.0,"19 days 00:14:00",1885,7571.88
15529.0,"22 days 01:21:00",812,5084.50
17654.0,"276 days 23:33:00",22,117.55
14915.0,"85 days 02:23:00",92,1752.65
14309.0,"7 days 23:17:00",195,3747.96
17239.0,"312 days 03:09:00",34,1174.15
16903.0,"28 days 21:18:00",193,1029.98
17174.0,"217 days 01:03:00",4,59.90
13788.0,"504 days 21:00:00",1,3.75
15156.0,"18:28:00",55,961.49
13547.0,"407 days 22:36:00",47,175.53
15578.0,"161 days 23:47:00",13,127.10
15497.0,"17 days 00:59:00",123,8643.46
18144.0,"7 days 00:04:00",87,5058.00
17847.0,"515 days 02:50:00",9,129.69
14146.0,"8 days 02:32:00",491,8208.87
17488.0,"640 days 22:43:00",18,336.50
12938.0,"25 days 01:29:00",9,114.14
14006.0,"115 days 03:11:00",77,2196.67
14892.0,"690 days 03:52:00",13,202.35
12921.0,"3 days 02:54:00",1612,34639.45
15816.0,"541 days 23:14:00",12,93.30
13631.0,"99 days 02:53:00",12,3021.77
13672.0,"300 days 22:55:00",28,162.07
13786.0,"366 days 22:57:00",126,2736.41
13385.0,"329 days 02:58:00",35,534.57
15734.0,"114 days 02:00:00",43,2263.30
16780.0,"99 days 20:41:00",99,605.55
15863.0,"25 days 00:01:00",79,358.70
16294.0,"476 days 00:49:00",8,126.05
14130.0,"318 days 20:45:00",224,1882.67
12882.0,"8 days 20:32:00",13,1463.04
14781.0,"419 days 21:25:00",1,-530.31
17559.0,"512 days 00:48:00",12,167.62
12625.0,"211 days 02:56:00",188,5095.38
15669.0,"39 days 20:47:00",35,677.69
14850.0,"311 days 01:29:00",205,1575.21
15301.0,"50 days 02:53:00",384,7561.21
17124.0,"184 days 22:48:00",32,298.89
17341.0,"156 days 00:17:00",407,1889.83
17208.0,"395 days",24,115.35
16010.0,"245 days 02:36:00",300,1722.11
14085.0,"1 day 23:04:00",1069,10092.22
15597.0,"29 days 01:04:00",38,554.52
16520.0,"185 days 23:26:00",417,2465.92
14925.0,"730 days 23:06:00",1,-7.95
16616.0,"14 days 20:19:00",33,500.42
14872.0,"480 days 02:06:00",44,802.68
16333.0,"7 days 00:31:00",45,26626.80
16853.0,"730 days 19:18:00",2,-67.50
14350.0,"270 days 00:23:00",62,947.80
13850.0,"87 days 18:50:00",94,1586.81
14052.0,"19 days 00:20:00",125,480.81
17950.0,"71 days 21:32:00",208,1412.65
15062.0,"70 days 19:59:00",159,2585.62
15860.0,"40 days 01:25:00",368,2505.21
13765.0,"652 days 23:04:00",17,352.82
17405.0,"19:38:00",94,967.22
15723.0,"364 days 01:38:00",129,947.65
12605.0,"364 days 21:09:00",82,1217.95
12771.0,"464 days 00:16:00",16,262.50
14346.0,"120 days 03:03:00",146,2315.75
16732.0,"31 days 02:56:00",230,3966.79
16881.0,"66 days 02:17:00",1,432.00
14177.0,"84 days 02:58:00",211,2224.39
18216.0,"30 days 19:55:00",26,481.75
14483.0,"149 days 03:05:00",14,249.20
17412.0,"2 days 01:14:00",242,4384.98
15064.0,"409 days 22:18:00",81,1254.41
14142.0,"372 days 20:17:00",70,967.75
14642.0,"58 days 01:42:00",2,96.12
15210.0,"224 days 20:39:00",67,1176.19
16025.0,"29 days 01:05:00",28,439.66
16592.0,"3 days 23:01:00",446,7624.46
14780.0,"54 days 00:04:00",27,447.68
15829.0,"98 days 20:05:00",51,636.14
14359.0,"18 days 23:33:00",58,882.58
14225.0,"434 days 02:18:00",91,2015.12
16271.0,"2 days 00:05:00",306,3457.07
14016.0,"153 days 22:23:00",450,11379.71
18148.0,"646 days 01:10:00",11,114.10
14490.0,"405 days 21:46:00",80,1273.47
17370.0,"72 days 02:36:00",33,446.18
13916.0,"463 days 02:46:00",75,1260.51
15426.0,"18 days 21:14:00",543,2592.95
16764.0,"3 days 01:09:00",718,2758.25
15480.0,"115 days 22:18:00",217,3592.25
14037.0,"175 days 22:53:00",115,755.95
17269.0,"385 days 01:38:00",146,537.46
13581.0,"308 days 22:09:00",33,280.53
12982.0,"239 days 02:01:00",214,2562.12
16442.0,"1 day 01:07:00",250,899.47
18103.0,"548 days 23:14:00",10,105.80
17060.0,"265 days 23:23:00",5,234.24
14019.0,"46 days 02:37:00",68,1398.96
15883.0,"1 day 19:45:00",49,396.48
14363.0,"401 days 19:49:00",8,227.47
17168.0,"498 days 00:17:00",21,400.20
12371.0,"44 days 02:34:00",167,4067.38
14312.0,"46 days 03:04:00",180,3090.29
17590.0,"1 day 23:55:00",201,1479.22
15445.0,"263 days 21:44:00",14,284.50
15855.0,"136 days 02:30:00",95,1052.72
12877.0,"3 days 02:20:00",277,2955.17
15802.0,"142 days 01:10:00",3,-451.42
16362.0,"31 days 23:49:00",104,841.74
12370.0,"50 days 21:59:00",202,4320.31
12382.0,"681 days 20:25:00",1,-18.38
14160.0,"609 days 22:20:00",107,8421.47
13928.0,"10 days 02:17:00",27,464.57
17940.0,"48 days 23:23:00",42,26960.02
18006.0,"22 days 19:58:00",65,997.86
17508.0,"280 days 04:40:00",232,4546.78
16835.0,"127 days 23:00:00",92,1471.51
12796.0,"627 days 21:01:00",7,381.00
13118.0,"19 days 00:04:00",152,2334.10
17471.0,"474 days 00:57:00",19,321.65
17673.0,"23:44:00",522,4216.33
17447.0,"39 days 22:32:00",36,541.53
16823.0,"226 days 21:50:00",176,2253.14
17446.0,"176 days 02:08:00",9,120.90
16984.0,"77 days 18:29:00",1160,10599.42
16974.0,"522 days 02:32:00",8,365.50
16420.0,"395 days 21:35:00",2,75.00
16645.0,"735 days 03:01:00",14,160.39
17856.0,"1 day 03:10:00",17,1393.79
17387.0,"19 days 01:50:00",78,784.11
16907.0,"28 days 18:46:00",255,1707.90
13699.0,"154 days 19:59:00",40,711.40
16272.0,"116 days 01:56:00",25,411.70
18018.0,"107 days 19:13:00",48,156.69
18236.0,"29 days 04:44:00",98,1795.35
15659.0,"43 days 03:27:00",21,532.49
15591.0,"582 days 03:27:00",7,217.90
14417.0,"387 days 01:55:00",137,604.20
16610.0,"218 days 23:37:00",6,75.66
18019.0,"51 days 00:40:00",5,38.45
16006.0,"210 days 23:38:00",82,347.17
16858.0,"365 days 21:58:00",155,4431.63
14048.0,"276 days 23:01:00",144,713.89
16480.0,"75 days 01:10:00",53,769.29
17104.0,"423 days 00:29:00",19,474.03
12856.0,"7 days 01:58:00",317,2162.68
16286.0,"476 days 22:02:00",19,263.65
12496.0,"619 days 22:44:00",13,54.09
18155.0,"74 days 23:18:00",28,347.82
17033.0,"85 days 22:16:00",40,1332.79
14462.0,"63 days 03:28:00",295,2231.89
17102.0,"261 days 02:42:00",1,25.50
15085.0,"729 days 01:03:00",9,347.54
14819.0,"63 days 23:09:00",57,470.16
16986.0,"29 days 00:55:00",174,4888.75
17841.0,"1 day 00:43:00",13097,69516.19
12690.0,"205 days 03:41:00",16,389.01
14948.0,"22 days 19:34:00",64,1066.57
18189.0,"77 days 00:10:00",88,1396.58
13848.0,"91 days 23:52:00",11,3335.00
13486.0,"77 days 23:37:00",69,1122.41
12357.0,"32 days 20:43:00",296,18287.66
12753.0,"3 days 01:10:00",230,21024.01
12883.0,"24 days 03:18:00",42,703.47
13274.0,"408 days 23:02:00",19,360.85
13093.0,"266 days 19:34:00",1111,54073.73
15822.0,"2 days 22:00:00",72,1777.91
15588.0,"677 days 00:31:00",4,579.60
15201.0,"78 days 02:57:00",131,1525.90
16794.0,"18:56:00",520,2069.71
15450.0,"29 days 19:39:00",30,429.84
14192.0,"387 days 19:06:00",14,293.74
14407.0,"106 days 22:48:00",76,2111.08
17126.0,"151 days 22:58:00",477,2057.54
12498.0,"20 days 23:57:00",23,403.70
16975.0,"413 days 02:15:00",47,902.42
16145.0,"8 days 02:17:00",418,6693.60
15433.0,"78 days 20:26:00",53,417.87
14305.0,"70 days 21:21:00",110,1803.76
15528.0,"253 days 20:36:00",26,229.33
14882.0,"26 days 00:03:00",70,3426.55
17252.0,"116 days 03:05:00",87,353.86
12675.0,"553 days 03:01:00",115,934.80
16912.0,"22 days 20:59:00",177,4433.60
16252.0,"365 days 20:35:00",63,-295.09
16528.0,"3 days 00:05:00",17,244.41
13847.0,"719 days 02:09:00",19,310.72
16120.0,"58 days 22:28:00",97,3041.91
13825.0,"621 days 01:48:00",40,255.59
17969.0,"165 days 23:50:00",222,2251.19
15868.0,"582 days 22:39:00",4,94.53
14057.0,"23 days 02:18:00",461,8338.28
13615.0,"312 days 01:21:00",376,6212.23
13424.0,"443 days 17:04:00",41,557.92
17150.0,"376 days 01:23:00",93,1375.65
13525.0,"14 days 00:49:00",6,628.78
15187.0,"1 day 00:54:00",93,4670.08
17782.0,"382 days 01:35:00",29,679.02
16285.0,"645 days 20:47:00",31,176.90
18182.0,"462 days 22:25:00",10,291.13
16607.0,"17 days 02:26:00",302,5375.18
13796.0,"498 days 22:05:00",22,289.70
13620.0,"527 days 21:48:00",5,112.34
14445.0,"455 days 01:41:00",32,221.65
17755.0,"423 days 21:05:00",10,-72.23
12948.0,"15 days 19:40:00",127,2306.18
17587.0,"627 days 22:34:00",43,181.66
13882.0,"2 days 01:34:00",66,1131.28
17922.0,"542 days 20:18:00",8,170.40
14245.0,"175 days 22:17:00",112,1677.48
15735.0,"420 days 23:12:00",19,327.68
13802.0,"137 days 23:24:00",457,25491.56
13129.0,"451 days 23:03:00",11,233.25
16785.0,"409 days 02:14:00",35,533.78
12398.0,"45 days 02:23:00",85,1635.66
14183.0,"410 days 22:05:00",35,286.29
13763.0,"62 days 21:37:00",53,5181.99
16164.0,"16 days 21:46:00",35,802.53
13556.0,"428 days 20:06:00",9,200.82
18160.0,"56 days 21:00:00",65,1003.88
17274.0,"34 days 23:34:00",79,577.38
13606.0,"28 days 19:04:00",43,280.54
12975.0,"429 days 17:47:00",118,1993.99
15104.0,"166 days 01:15:00",71,1002.54
15122.0,"84 days 20:23:00",236,4461.42
16276.0,"176 days 03:16:00",26,2629.39
18062.0,"172 days 22:03:00",57,1523.37
13515.0,"72 days 01:24:00",76,1265.82
16495.0,"2 days 23:30:00",97,684.41
14486.0,"511 days 03:08:00",6,175.50
15243.0,"73 days 22:38:00",61,927.28
16512.0,"727 days 22:19:00",1,-33.90
13529.0,"78 days 03:35:00",15,307.76
14962.0,"270 days 03:08:00",14,366.91
12987.0,"73 days 00:47:00",68,1298.51
13759.0,"32 days 22:03:00",25,659.41
15019.0,"266 days 00:15:00",70,266.00
13548.0,"95 days 22:00:00",187,908.99
18060.0,"407 days 20:09:00",75,1185.46
15051.0,"22 days 21:12:00",291,3920.16
16110.0,"44 days 22:15:00",449,1819.27
16266.0,"73 days 00:42:00",109,1757.95
15839.0,"24 days 23:25:00",65,1020.74
16468.0,"73 days 22:37:00",45,787.52
15001.0,"393 days 22:59:00",54,230.86
16677.0,"392 days 18:49:00",49,849.77
13114.0,"730 days 02:54:00",16,234.38
15550.0,"3 days 21:12:00",243,1995.60
13668.0,"2 days 00:36:00",812,12749.14
14371.0,"294 days 20:15:00",4,100.50
15996.0,"87 days 21:36:00",213,1671.00
13105.0,"435 days 23:09:00",1,72.00
17557.0,"13 days 23:53:00",35,575.46
16905.0,"4 days 22:49:00",345,5004.50
17647.0,"64 days 21:12:00",12,331.66
13999.0,"9 days 23:10:00",475,9438.01
18118.0,"10 days 01:18:00",1572,6670.07
12828.0,"2 days 04:05:00",56,1018.71
15105.0,"17 days 19:56:00",151,3094.91
14500.0,"87 days 20:05:00",7,356.85
16152.0,"268 days 03:03:00",29,1829.04
13097.0,"32 days 02:07:00",1042,12861.73
16680.0,"42 days 19:15:00",29,821.45
13470.0,"98 days 21:53:00",10,165.00
12433.0,"02:48:00",707,20428.86
16950.0,"56 days 03:44:00",153,3725.19
13243.0,"202 days 23:36:00",220,1278.04
14937.0,"56 days 00:21:00",35,1617.63
16430.0,"56 days 22:03:00",28,1117.94
12361.0,"286 days 22:59:00",29,511.25
16003.0,"29 days 02:53:00",203,5613.83
15997.0,"616 days 23:46:00",1,-23.40
15203.0,"25 days 04:34:00",343,4400.18
16936.0,"25 days 01:46:00",141,551.17
17837.0,"41 days 20:35:00",172,1560.53
14204.0,"1 day 23:12:00",232,1062.96
15844.0,"45 days 21:31:00",11,130.74
12829.0,"321 days 23:54:00",20,345.35
14820.0,"20 days 21:09:00",64,1274.76
13706.0,"302 days 03:29:00",38,631.17
17889.0,"211 days 20:24:00",122,774.87
13749.0,"700 days 19:58:00",2,-10.25
15719.0,"32 days 00:21:00",1794,10134.36
12711.0,"611 days 00:51:00",60,1339.05
14321.0,"10 days 03:03:00",181,2198.58
15026.0,"79 days 22:58:00",140,1061.61
18075.0,"22 days 21:29:00",350,5579.91
14238.0,"325 days 22:10:00",13,434.23
17838.0,"26 days 01:12:00",326,6239.55
17419.0,"10 days 23:03:00",320,6474.92
16068.0,"593 days 00:58:00",39,122.93
13603.0,"25 days 20:53:00",27,164.34
16706.0,"36 days 23:00:00",123,531.35
18206.0,"552 days 23:03:00",19,314.66
17493.0,"384 days 19:53:00",8,100.91
18229.0,"11 days 03:02:00",211,10803.71
16064.0,"724 days 20:39:00",18,111.00
15045.0,"151 days 01:17:00",13,633.66
13664.0,"681 days 20:19:00",1,-13.14
13069.0,"04:11:00",1163,8747.47
13354.0,"70 days 23:33:00",51,743.53
13302.0,"154 days 18:54:00",3,159.20
17500.0,"16 days 22:25:00",5,1138.00
15395.0,"325 days 00:10:00",7,107.45
14603.0,"274 days 02:23:00",2,660.00
16718.0,"368 days 23:47:00",223,3647.53
14659.0,"8 days 00:33:00",259,2456.53
14713.0,"8 days 20:24:00",711,5372.47
13423.0,"428 days 03:48:00",12,217.03
13159.0,"8 days 01:30:00",122,1379.75
15403.0,"491 days 00:29:00",8,170.88
15337.0,"402 days 02:16:00",24,344.72
12679.0,"51 days 23:07:00",56,1058.67
17984.0,"144 days 20:51:00",251,1191.27
13588.0,"15 days 02:08:00",180,2445.12
14862.0,"25 days 02:49:00",48,841.20
16601.0,"40 days 01:41:00",72,684.25
16690.0,"43 days 01:52:00",20,336.08
15908.0,"490 days 00:54:00",41,764.57
17707.0,"184 days 21:47:00",25,605.05
17319.0,"668 days 21:03:00",3,29.10
13183.0,"7 days 02:20:00",161,7010.88
17934.0,"51 days 01:34:00",41,1049.15
15928.0,"655 days 21:34:00",11,293.53
16441.0,"66 days 19:02:00",87,1023.48
16204.0,"22 days 23:10:00",111,939.24
16693.0,"68 days 01:40:00",174,1199.46
13559.0,"512 days 02:58:00",2,990.00
13198.0,"9 days 21:33:00",322,4912.28
13746.0,"413 days 00:55:00",9,176.69
15944.0,"276 days 02:17:00",38,2164.24
15840.0,"58 days 03:42:00",28,345.66
12989.0,"2 days 21:22:00",105,12846.80
16700.0,"8 days 01:50:00",535,9084.06
18016.0,"31 days 23:25:00",170,1960.46
14333.0,"63 days 17:25:00",19,351.45
15089.0,"9 days 20:19:00",145,2420.84
15075.0,"77 days 00:23:00",27,773.03
15641.0,"104 days 22:46:00",311,5345.55
12841.0,"4 days 01:37:00",722,7390.48
13050.0,"8 days 19:22:00",1047,11822.44
16223.0,"374 days 01:00:00",126,1102.35
18226.0,"38 days 02:53:00",544,11748.58
13257.0,"427 days 00:23:00",9,117.95
14459.0,"154 days 23:15:00",114,5339.14
17870.0,"1 day 21:43:00",283,3103.20
14385.0,"8 days 21:14:00",14,202.11
16979.0,"3 days 00:29:00",133,2787.09
17667.0,"65 days 22:18:00",235,3883.80
12922.0,"160 days 21:15:00",28,405.38
16261.0,"16 days 19:27:00",168,1059.45
13121.0,"268 days 19:59:00",53,254.73
17748.0,"526 days 23:01:00",17,358.15
18045.0,"44 days 23:43:00",47,189.40
15313.0,"109 days 20:48:00",1,52.00
16453.0,"530 days 00:04:00",15,251.71
16260.0,"50 days 03:10:00",18,1035.45
12746.0,"527 days 04:31:00",20,230.85
12652.0,"321 days 19:49:00",54,1011.58
12745.0,"486 days 02:36:00",23,925.41
15472.0,"112 days 21:33:00",76,371.56
16450.0,"149 days 01:03:00",44,1475.73
18234.0,"551 days 01:28:00",30,179.60
12474.0,"16 days 22:11:00",764,11966.45
16729.0,"35 days 17:39:00",668,7076.28
15969.0,"2 days 01:44:00",36,1043.85
12998.0,"492 days 04:45:00",61,897.38
12618.0,"21 days 01:40:00",11,177.31
17774.0,"96 days 00:01:00",414,2945.70
13272.0,"30 days 22:50:00",15,276.56
12950.0,"1 day 23:33:00",23,1843.00
13065.0,"372 days 19:58:00",77,1255.96
13617.0,"39 days 23:00:00",108,1263.80
17528.0,"23:23:00",260,3540.10
14221.0,"41 days 23:08:00",349,6506.59
15449.0,"25 days 21:48:00",62,971.22
14150.0,"35 days 02:45:00",26,658.64
14485.0,"38 days 00:25:00",47,165.75
16180.0,"99 days 20:22:00",347,16170.27
16185.0,"16 days 03:09:00",40,644.72
16097.0,"239 days 23:03:00",10,185.05
13013.0,"21:49:00",557,12601.82
16747.0,"24 days 23:13:00",45,826.96
13038.0,"79 days 22:13:00",28,908.46
16743.0,"28 days 23:37:00",377,4207.01
17390.0,"420 days 01:21:00",12,149.30
14468.0,"733 days 00:29:00",12,204.24
12421.0,"15 days 03:43:00",67,1092.83
14958.0,"146 days 22:30:00",72,957.94
15924.0,"730 days 21:50:00",15,102.82
13977.0,"410 days 22:42:00",13,519.81
13738.0,"395 days 21:27:00",92,440.93
18084.0,"15 days 22:53:00",11,193.73
13394.0,"1 day 01:14:00",423,6323.88
14064.0,"28 days 23:36:00",252,3039.75
12719.0,"4 days 23:05:00",42,608.10
17801.0,"450 days 22:18:00",86,795.78
18046.0,"649 days 01:14:00",26,189.63
15856.0,"3 days 19:41:00",1172,33817.44
13776.0,"427 days 19:51:00",8,-340.17
16217.0,"234 days 23:19:00",19,259.39
14255.0,"545 days 20:53:00",4,-1441.60
13225.0,"2 days 23:21:00",127,15879.27
18052.0,"564 days 01:39:00",16,10877.18
16373.0,"381 days 21:00:00",29,309.49
14058.0,"462 days 03:19:00",24,469.19
13055.0,"63 days 17:53:00",158,2292.51
14579.0,"431 days 22:14:00",25,105.56
12599.0,"28 days 23:16:00",133,2296.72
15610.0,"51 days 02:14:00",6,112.46
13688.0,"634 days 22:39:00",5,375.50
14198.0,"3 days 20:16:00",97,1527.58
13009.0,"672 days 00:28:00",4,234.00
16137.0,"679 days 21:46:00",28,422.70
13457.0,"688 days 04:02:00",11,143.27
16289.0,"461 days 22:43:00",22,98.81
16852.0,"9 days 23:28:00",9,144.91
15674.0,"72 days 21:33:00",374,6217.85
13440.0,"422 days 18:57:00",70,1213.95
14425.0,"426 days 22:26:00",41,635.89
17840.0,"443 days 00:26:00",55,185.72
17281.0,"373 days 18:45:00",6,797.85
15176.0,"596 days 01:10:00",53,985.09
17095.0,"21 days 20:10:00",142,2312.59
16205.0,"30 days 03:18:00",200,1830.61
17021.0,"441 days 16:49:00",48,1182.22
12479.0,"3 days 03:25:00",35,477.30
17449.0,"1 day 19:54:00",600,4935.15
12695.0,"6 days 23:28:00",59,1407.12
16274.0,"372 days 21:15:00",134,715.90
15342.0,"115 days 20:30:00",26,391.76
18001.0,"11 days 20:48:00",140,953.84
