"day","Revenue Per This Day","Number of active users","ARPDAU"
2010-02-17 00:00:00.000,22702.46,47,483.03
2010-02-18 00:00:00.000,34229.36,77,444.54
2010-02-19 00:00:00.000,27122.47,33,821.89
2010-02-21 00:00:00.000,9321.78,50,186.44
2010-02-22 00:00:00.000,26219.15,45,582.65
2010-02-23 00:00:00.000,22561.38,46,490.46
2010-02-24 00:00:00.000,32811.29,51,643.36
2010-02-25 00:00:00.000,45406.68,69,658.07
2010-02-26 00:00:00.000,13268.20,31,428.01
2010-02-28 00:00:00.000,16805.97,50,336.12
2010-03-01 00:00:00.000,25388.74,51,497.82
2010-03-02 00:00:00.000,25677.44,75,342.37
2010-03-03 00:00:00.000,33890.13,60,564.84
2010-03-04 00:00:00.000,31611.53,76,415.94
2010-03-05 00:00:00.000,27684.73,55,503.36
2010-03-07 00:00:00.000,19811.72,49,404.32
2010-03-08 00:00:00.000,36830.01,73,504.52
2010-03-09 00:00:00.000,19386.95,64,302.92
2010-03-10 00:00:00.000,27133.66,58,467.82
2010-03-11 00:00:00.000,24480.91,40,612.02
2010-03-12 00:00:00.000,21474.25,33,650.73
2010-03-14 00:00:00.000,9019.95,22,410.00
2010-03-15 00:00:00.000,27378.74,46,595.19
2010-03-16 00:00:00.000,23093.65,79,292.32
2010-03-17 00:00:00.000,30616.96,43,712.02
2010-03-18 00:00:00.000,40624.75,74,548.98
2010-03-19 00:00:00.000,23632.03,58,407.45
2010-03-21 00:00:00.000,20596.79,52,396.09
2010-03-22 00:00:00.000,24706.20,72,343.14
2010-03-23 00:00:00.000,32491.97,64,507.69
2010-03-24 00:00:00.000,27177.73,86,316.02
2010-03-25 00:00:00.000,32476.16,75,433.02
2010-03-26 00:00:00.000,31942.91,58,550.74
2010-03-28 00:00:00.000,22548.32,56,402.65
2010-03-29 00:00:00.000,59139.88,45,1314.22
2010-03-30 00:00:00.000,37586.01,82,458.37
2010-03-31 00:00:00.000,29446.64,68,433.04
2010-04-01 00:00:00.000,30247.54,75,403.30
2010-04-06 00:00:00.000,19029.42,48,396.45
2010-04-07 00:00:00.000,34510.16,49,704.29
2010-04-08 00:00:00.000,47209.47,72,655.69
2010-04-09 00:00:00.000,16721.71,37,451.94
2010-04-11 00:00:00.000,19889.47,41,485.11
2010-04-12 00:00:00.000,25998.33,68,382.33
2010-04-13 00:00:00.000,24983.04,69,362.07
2010-04-14 00:00:00.000,26613.80,51,521.84
2010-04-15 00:00:00.000,19257.02,63,305.67
2010-04-16 00:00:00.000,18065.74,39,463.22
2010-04-18 00:00:00.000,23404.87,44,531.93
2010-04-19 00:00:00.000,45004.05,48,937.58
2010-04-20 00:00:00.000,24754.71,59,419.57
2010-04-21 00:00:00.000,27666.08,54,512.33
2010-04-22 00:00:00.000,35827.22,112,319.89
2010-04-23 00:00:00.000,14758.22,47,314.00
2010-04-25 00:00:00.000,16418.32,44,373.14
2010-04-26 00:00:00.000,35836.40,69,519.37
2010-04-27 00:00:00.000,45883.41,77,595.89
2010-04-28 00:00:00.000,32458.66,65,499.36
2010-04-29 00:00:00.000,-22212.61,78,-284.78
2010-04-30 00:00:00.000,28255.40,62,455.73
2010-05-02 00:00:00.000,12033.88,39,308.56
2010-05-04 00:00:00.000,21250.52,70,303.58
2010-05-05 00:00:00.000,26828.56,82,327.18
2010-05-06 00:00:00.000,52517.11,89,590.08
2010-05-07 00:00:00.000,34942.80,54,647.09
2010-05-09 00:00:00.000,23090.14,53,435.66
2010-05-10 00:00:00.000,30412.31,86,353.63
2010-05-11 00:00:00.000,28707.32,62,463.02
2010-05-12 00:00:00.000,31284.61,55,568.81
2010-05-13 00:00:00.000,28409.93,69,411.74
2010-05-14 00:00:00.000,11944.70,78,153.14
2010-05-16 00:00:00.000,18132.55,38,477.17
2010-05-17 00:00:00.000,24180.18,61,396.40
2010-05-18 00:00:00.000,27392.34,65,421.42
2010-05-19 00:00:00.000,17126.75,61,280.77
2010-05-20 00:00:00.000,24073.21,68,354.02
2010-05-21 00:00:00.000,26809.59,56,478.74
2010-05-23 00:00:00.000,25039.43,41,610.72
2010-05-24 00:00:00.000,34841.38,67,520.02
2010-05-25 00:00:00.000,21740.81,66,329.41
2010-05-26 00:00:00.000,35705.56,73,489.12
2010-05-27 00:00:00.000,30880.76,80,386.01
2010-05-28 00:00:00.000,17272.08,71,243.27
2010-05-30 00:00:00.000,10706.31,30,356.88
2010-06-01 00:00:00.000,15643.76,36,434.55
2010-06-02 00:00:00.000,16132.87,40,403.32
2010-06-03 00:00:00.000,27123.19,81,334.85
2010-06-04 00:00:00.000,21220.38,32,663.14
2010-06-06 00:00:00.000,25423.08,63,403.54
2010-06-07 00:00:00.000,45335.89,85,533.36
2010-06-08 00:00:00.000,51634.61,66,782.34
2010-06-09 00:00:00.000,37543.74,72,521.44
2010-06-10 00:00:00.000,15602.33,84,185.74
2010-06-11 00:00:00.000,33294.92,69,482.54
2010-06-13 00:00:00.000,21480.84,61,352.14
2010-06-14 00:00:00.000,23402.15,61,383.64
2010-06-15 00:00:00.000,28232.78,50,564.66
2010-06-16 00:00:00.000,31207.04,74,421.72
2010-06-17 00:00:00.000,23993.61,73,328.68
2010-06-18 00:00:00.000,18090.62,52,347.90
2010-06-20 00:00:00.000,9100.68,26,350.03
2010-06-21 00:00:00.000,21148.76,40,528.72
2010-06-22 00:00:00.000,14665.08,38,385.92
2010-06-23 00:00:00.000,27846.19,54,515.67
2010-06-24 00:00:00.000,25088.89,69,363.61
2010-06-25 00:00:00.000,17704.17,38,465.90
2010-06-27 00:00:00.000,17571.82,52,337.92
2010-06-28 00:00:00.000,45363.68,69,657.44
2010-06-29 00:00:00.000,34569.21,59,585.92
2010-06-30 00:00:00.000,31366.32,112,280.06
2010-07-01 00:00:00.000,29951.80,83,360.87
2010-07-02 00:00:00.000,16643.39,40,416.08
2010-07-04 00:00:00.000,10485.71,20,524.29
2010-07-05 00:00:00.000,32317.21,84,384.73
2010-07-06 00:00:00.000,23299.09,52,448.06
2010-07-07 00:00:00.000,30244.53,58,521.46
2010-07-08 00:00:00.000,18537.79,65,285.20
2010-07-09 00:00:00.000,33758.28,33,1022.98
2010-07-11 00:00:00.000,7853.53,24,327.23
2010-07-12 00:00:00.000,19601.00,41,478.07
2010-07-13 00:00:00.000,20707.85,41,505.07
2010-07-14 00:00:00.000,21401.58,84,254.78
2010-07-15 00:00:00.000,51526.34,64,805.10
2010-07-16 00:00:00.000,20483.34,82,249.80
2010-07-18 00:00:00.000,15010.37,37,405.69
2010-07-19 00:00:00.000,-13595.88,59,-230.44
2010-07-20 00:00:00.000,24448.92,52,470.17
2010-07-21 00:00:00.000,21555.03,67,321.72
2010-07-22 00:00:00.000,26157.81,66,396.33
2010-07-23 00:00:00.000,25102.99,42,597.69
2010-07-25 00:00:00.000,17252.10,52,331.77
2010-07-26 00:00:00.000,22796.27,57,399.93
2010-07-27 00:00:00.000,26808.42,61,439.48
2010-07-28 00:00:00.000,22982.00,75,306.43
2010-07-29 00:00:00.000,34214.59,80,427.68
2010-07-30 00:00:00.000,15692.30,51,307.69
2010-08-01 00:00:00.000,30424.50,30,1014.15
2010-08-02 00:00:00.000,28982.54,50,579.65
2010-08-03 00:00:00.000,26167.05,61,428.97
2010-08-04 00:00:00.000,20624.21,55,374.99
2010-08-05 00:00:00.000,23642.48,57,414.78
2010-08-06 00:00:00.000,13645.21,42,324.89
2010-08-08 00:00:00.000,14072.78,41,343.24
2010-08-09 00:00:00.000,30884.33,49,630.29
2010-08-10 00:00:00.000,34859.59,38,917.36
2010-08-11 00:00:00.000,21705.02,39,556.54
2010-08-12 00:00:00.000,26697.41,83,321.66
2010-08-13 00:00:00.000,36419.19,45,809.32
2010-08-15 00:00:00.000,22016.98,52,423.40
2010-08-16 00:00:00.000,20697.23,38,544.66
2010-08-17 00:00:00.000,29989.01,57,526.12
2010-08-18 00:00:00.000,37205.75,48,775.12
2010-08-19 00:00:00.000,32624.30,62,526.20
2010-08-20 00:00:00.000,25096.22,52,482.62
2010-08-22 00:00:00.000,22703.21,53,428.36
2010-08-23 00:00:00.000,21635.77,46,470.34
2010-08-24 00:00:00.000,25468.88,62,410.79
2010-08-25 00:00:00.000,30184.58,72,419.23
2010-08-26 00:00:00.000,34606.93,71,487.42
2010-08-27 00:00:00.000,-1683.50,29,-58.05
2010-08-29 00:00:00.000,14503.43,36,402.87
2010-08-31 00:00:00.000,33603.24,53,634.02
2010-09-01 00:00:00.000,22449.10,72,311.79
2010-09-02 00:00:00.000,34760.67,79,440.01
2010-09-03 00:00:00.000,36853.65,60,614.23
2010-09-05 00:00:00.000,12370.70,35,353.45
2010-09-06 00:00:00.000,28546.58,45,634.37
2010-09-07 00:00:00.000,27481.51,48,572.53
2010-09-08 00:00:00.000,17422.90,46,378.76
2010-09-09 00:00:00.000,23892.67,74,322.87
2010-09-10 00:00:00.000,16553.52,41,403.74
2010-09-12 00:00:00.000,15754.34,46,342.49
2010-09-13 00:00:00.000,38184.31,69,553.40
2010-09-14 00:00:00.000,21158.14,58,364.80
2010-09-15 00:00:00.000,34557.67,61,566.52
2010-09-16 00:00:00.000,26386.14,73,361.45
2010-09-17 00:00:00.000,20453.13,62,329.89
2010-09-19 00:00:00.000,23081.19,54,427.43
2010-09-20 00:00:00.000,41699.62,64,651.56
2010-09-21 00:00:00.000,61871.33,104,594.92
2010-09-22 00:00:00.000,29604.74,41,722.07
2010-09-23 00:00:00.000,36179.88,74,488.92
2010-09-24 00:00:00.000,47665.39,49,972.76
2010-09-26 00:00:00.000,21364.57,59,362.11
2010-09-27 00:00:00.000,97814.70,73,1339.93
2010-09-28 00:00:00.000,33757.07,122,276.70
2010-09-29 00:00:00.000,37750.24,89,424.16
2010-09-30 00:00:00.000,46036.67,91,505.90
2010-10-01 00:00:00.000,37751.00,68,555.16
2010-10-03 00:00:00.000,38542.45,70,550.61
2010-10-04 00:00:00.000,39071.09,80,488.39
2010-10-05 00:00:00.000,53656.67,142,377.86
2010-10-06 00:00:00.000,29985.44,62,483.64
2010-10-07 00:00:00.000,52054.97,116,448.75
2010-10-08 00:00:00.000,59501.47,74,804.07
2010-10-10 00:00:00.000,23117.33,59,391.82
2010-10-11 00:00:00.000,43093.91,94,458.45
2010-10-12 00:00:00.000,49281.54,116,424.84
2010-10-13 00:00:00.000,53125.56,84,632.45
2010-10-14 00:00:00.000,86077.65,90,956.42
2010-10-15 00:00:00.000,44510.12,86,517.56
2010-10-17 00:00:00.000,32992.15,63,523.68
2010-10-18 00:00:00.000,39594.55,117,338.41
2010-10-19 00:00:00.000,44128.77,72,612.90
2010-10-20 00:00:00.000,5799.66,93,62.36
2010-10-21 00:00:00.000,38641.89,90,429.35
2010-10-22 00:00:00.000,38915.35,95,409.64
2010-10-24 00:00:00.000,28769.80,74,388.78
2010-10-25 00:00:00.000,29146.11,78,373.67
2010-10-26 00:00:00.000,45460.09,109,417.07
2010-10-27 00:00:00.000,32917.19,68,484.08
2010-10-28 00:00:00.000,23322.02,64,364.41
2010-10-29 00:00:00.000,45431.30,65,698.94
2010-10-31 00:00:00.000,30280.27,79,383.29
2010-11-01 00:00:00.000,27173.32,55,494.06
2010-11-02 00:00:00.000,41335.20,106,389.95
2010-11-03 00:00:00.000,44283.09,88,503.22
2010-11-04 00:00:00.000,88738.31,138,643.03
2010-11-05 00:00:00.000,46070.08,69,667.68
2010-11-07 00:00:00.000,31782.87,75,423.77
2010-11-08 00:00:00.000,83788.85,81,1034.43
2010-11-09 00:00:00.000,58143.24,108,538.36
2010-11-10 00:00:00.000,79721.72,113,705.50
2010-11-11 00:00:00.000,61133.29,137,446.23
2010-11-12 00:00:00.000,50597.03,87,581.58
2010-11-14 00:00:00.000,29333.48,76,385.97
2010-11-15 00:00:00.000,104983.55,86,1220.74
2010-11-16 00:00:00.000,71633.72,133,538.60
2010-11-17 00:00:00.000,51233.61,100,512.34
2010-11-18 00:00:00.000,44515.66,100,445.16
2010-11-19 00:00:00.000,47210.63,120,393.42
2010-11-21 00:00:00.000,32353.92,90,359.49
2010-11-22 00:00:00.000,43078.56,84,512.84
2010-11-23 00:00:00.000,53776.25,121,444.43
2010-11-24 00:00:00.000,58089.98,141,411.99
2010-11-25 00:00:00.000,71788.18,148,485.06
2010-11-26 00:00:00.000,40206.45,75,536.09
2010-11-28 00:00:00.000,27088.60,83,326.37
2010-11-29 00:00:00.000,79069.77,91,868.90
2010-11-30 00:00:00.000,55525.28,140,396.61
2010-12-01 00:00:00.000,117271.12,98,1196.64
2010-12-02 00:00:00.000,92414.56,117,789.87
2010-12-03 00:00:00.000,91240.92,55,1658.93
2010-12-05 00:00:00.000,62767.90,76,825.89
2010-12-06 00:00:00.000,107720.36,90,1196.89
2010-12-07 00:00:00.000,90118.10,70,1287.40
2010-12-08 00:00:00.000,88379.68,112,789.10
2010-12-09 00:00:00.000,105064.26,122,861.18
2010-12-10 00:00:00.000,57404.91,54,1063.05
2010-12-12 00:00:00.000,17240.92,42,410.50
2010-12-13 00:00:00.000,35379.34,61,579.99
2010-12-14 00:00:00.000,42843.29,104,411.95
2010-12-15 00:00:00.000,29443.69,86,342.37
2010-12-16 00:00:00.000,48334.35,117,413.11
2010-12-17 00:00:00.000,43534.19,52,837.20
2010-12-19 00:00:00.000,7517.31,17,442.19
2010-12-20 00:00:00.000,24741.75,59,419.35
2010-12-21 00:00:00.000,47097.94,31,1519.29
2010-12-22 00:00:00.000,6134.57,17,360.86
2010-12-23 00:00:00.000,11796.31,23,512.88
2011-01-04 00:00:00.000,14950.48,38,393.43
2011-01-05 00:00:00.000,-1566.23,56,-27.97
2011-01-06 00:00:00.000,37392.74,66,566.56
2011-01-07 00:00:00.000,27233.14,49,555.78
2011-01-09 00:00:00.000,15710.80,48,327.31
2011-01-10 00:00:00.000,24191.64,35,691.19
2011-01-11 00:00:00.000,67817.13,61,1111.76
2011-01-12 00:00:00.000,23958.78,49,488.95
2011-01-13 00:00:00.000,20533.54,47,436.88
2011-01-14 00:00:00.000,47377.26,46,1029.94
2011-01-16 00:00:00.000,7116.61,22,323.48
2011-01-17 00:00:00.000,29256.00,48,609.50
2011-01-18 00:00:00.000,18680.80,34,549.44
2011-01-19 00:00:00.000,25585.81,35,731.02
2011-01-20 00:00:00.000,17995.91,37,486.38
2011-01-21 00:00:00.000,31978.44,51,627.03
2011-01-23 00:00:00.000,10285.95,27,380.96
2011-01-24 00:00:00.000,25555.62,46,555.56
2011-01-25 00:00:00.000,27971.52,71,393.97
2011-01-26 00:00:00.000,19493.32,57,341.99
2011-01-27 00:00:00.000,21092.14,63,334.80
2011-01-28 00:00:00.000,18567.77,44,421.99
2011-01-30 00:00:00.000,6456.44,22,293.47
2011-01-31 00:00:00.000,22364.65,64,349.45
2011-02-01 00:00:00.000,28433.22,65,437.43
2011-02-02 00:00:00.000,21048.45,59,356.75
2011-02-03 00:00:00.000,23344.58,48,486.35
2011-02-04 00:00:00.000,24994.17,42,595.10
2011-02-06 00:00:00.000,3457.11,11,314.28
2011-02-07 00:00:00.000,25525.99,39,654.51
2011-02-08 00:00:00.000,20728.14,42,493.53
2011-02-09 00:00:00.000,16692.58,22,758.75
2011-02-10 00:00:00.000,13427.54,58,231.51
2011-02-11 00:00:00.000,20387.28,70,291.25
2011-02-13 00:00:00.000,5535.40,21,263.59
2011-02-14 00:00:00.000,26222.03,46,570.04
2011-02-15 00:00:00.000,36842.58,48,767.55
2011-02-16 00:00:00.000,24730.81,56,441.62
2011-02-17 00:00:00.000,26361.87,51,516.90
2011-02-18 00:00:00.000,15928.40,49,325.07
2011-02-20 00:00:00.000,9578.89,26,368.42
2011-02-21 00:00:00.000,23807.83,41,580.68
2011-02-22 00:00:00.000,32292.62,52,621.01
2011-02-23 00:00:00.000,26792.76,53,505.52
2011-02-24 00:00:00.000,22655.83,57,397.47
2011-02-25 00:00:00.000,18029.84,44,409.77
2011-02-27 00:00:00.000,9491.05,31,306.16
2011-02-28 00:00:00.000,21753.68,49,443.95
2011-03-01 00:00:00.000,25471.71,52,489.84
2011-03-02 00:00:00.000,18296.45,58,315.46
2011-03-03 00:00:00.000,35842.62,62,578.11
2011-03-04 00:00:00.000,19474.87,38,512.50
2011-03-06 00:00:00.000,9596.23,28,342.72
2011-03-07 00:00:00.000,30525.58,74,412.51
2011-03-08 00:00:00.000,25017.47,43,581.80
2011-03-09 00:00:00.000,21907.12,51,429.55
2011-03-10 00:00:00.000,25597.89,69,370.98
2011-03-11 00:00:00.000,21995.28,47,467.98
2011-03-13 00:00:00.000,4137.62,16,258.60
2011-03-14 00:00:00.000,25864.59,49,527.85
2011-03-15 00:00:00.000,20660.03,45,459.11
2011-03-16 00:00:00.000,21182.64,49,432.30
2011-03-17 00:00:00.000,38804.25,74,524.38
2011-03-18 00:00:00.000,16770.46,51,328.83
2011-03-20 00:00:00.000,21980.64,57,385.63
2011-03-21 00:00:00.000,16370.27,58,282.25
2011-03-22 00:00:00.000,31312.35,42,745.53
2011-03-23 00:00:00.000,24029.07,58,414.29
2011-03-24 00:00:00.000,36562.10,69,529.89
2011-03-25 00:00:00.000,30656.03,51,601.10
2011-03-27 00:00:00.000,8979.98,43,208.84
2011-03-28 00:00:00.000,19207.03,53,362.40
2011-03-29 00:00:00.000,70531.47,51,1382.97
2011-03-30 00:00:00.000,31489.25,75,419.86
2011-03-31 00:00:00.000,31004.08,71,436.68
2011-04-01 00:00:00.000,24391.78,68,358.70
2011-04-03 00:00:00.000,6878.10,18,382.12
2011-04-04 00:00:00.000,25073.02,57,439.88
2011-04-05 00:00:00.000,28353.83,54,525.07
2011-04-06 00:00:00.000,17279.35,42,411.41
2011-04-07 00:00:00.000,18229.00,65,280.45
2011-04-08 00:00:00.000,23299.14,72,323.60
2011-04-10 00:00:00.000,9363.88,32,292.62
2011-04-11 00:00:00.000,22110.31,60,368.51
2011-04-12 00:00:00.000,25124.25,63,398.80
2011-04-13 00:00:00.000,23898.20,64,373.41
2011-04-14 00:00:00.000,35295.58,90,392.17
2011-04-15 00:00:00.000,28327.13,40,708.18
2011-04-17 00:00:00.000,12704.30,39,325.75
2011-04-18 00:00:00.000,32185.61,67,480.38
2011-04-19 00:00:00.000,23837.65,64,372.46
2011-04-20 00:00:00.000,28239.39,67,421.48
2011-04-21 00:00:00.000,31198.60,69,452.15
2011-04-26 00:00:00.000,30585.54,62,493.32
2011-04-27 00:00:00.000,25590.56,64,399.85
2011-04-28 00:00:00.000,21241.90,60,354.03
2011-05-01 00:00:00.000,6964.66,18,386.93
2011-05-03 00:00:00.000,19617.86,62,316.42
2011-05-04 00:00:00.000,27462.30,62,442.94
2011-05-05 00:00:00.000,28750.65,93,309.15
2011-05-06 00:00:00.000,35714.58,69,517.60
2011-05-08 00:00:00.000,18808.92,58,324.29
2011-05-09 00:00:00.000,26060.43,63,413.66
2011-05-10 00:00:00.000,45564.12,74,615.73
2011-05-11 00:00:00.000,33240.36,66,503.64
2011-05-12 00:00:00.000,59911.97,84,713.24
2011-05-13 00:00:00.000,30744.07,52,591.23
2011-05-15 00:00:00.000,9924.28,29,342.22
2011-05-16 00:00:00.000,25279.77,54,468.14
2011-05-17 00:00:00.000,53603.83,81,661.78
2011-05-18 00:00:00.000,34337.29,66,520.26
2011-05-19 00:00:00.000,34348.75,96,357.80
2011-05-20 00:00:00.000,26256.52,71,369.81
2011-05-22 00:00:00.000,24205.37,57,424.66
2011-05-23 00:00:00.000,30739.55,74,415.40
2011-05-24 00:00:00.000,37028.91,76,487.22
2011-05-25 00:00:00.000,24152.28,60,402.54
2011-05-26 00:00:00.000,33208.59,58,572.56
2011-05-27 00:00:00.000,28232.19,63,448.13
2011-05-29 00:00:00.000,7208.30,20,360.42
2011-05-31 00:00:00.000,21967.96,53,414.49
2011-06-01 00:00:00.000,20191.20,55,367.11
2011-06-02 00:00:00.000,32502.01,54,601.89
2011-06-03 00:00:00.000,16751.00,40,418.78
2011-06-05 00:00:00.000,25520.35,62,411.62
2011-06-06 00:00:00.000,16791.39,66,254.42
2011-06-07 00:00:00.000,37644.30,83,453.55
2011-06-08 00:00:00.000,42940.91,75,572.55
2011-06-09 00:00:00.000,45515.75,88,517.22
2011-06-10 00:00:00.000,22540.66,51,441.97
2011-06-12 00:00:00.000,12483.86,38,328.52
2011-06-13 00:00:00.000,20372.93,72,282.96
2011-06-14 00:00:00.000,40211.93,45,893.60
2011-06-15 00:00:00.000,46139.18,48,961.23
2011-06-16 00:00:00.000,34131.73,82,416.24
2011-06-17 00:00:00.000,20800.72,39,533.35
2011-06-19 00:00:00.000,22360.01,57,392.28
2011-06-20 00:00:00.000,33493.40,64,523.33
2011-06-21 00:00:00.000,22730.01,63,360.79
2011-06-22 00:00:00.000,21794.94,57,382.37
2011-06-23 00:00:00.000,24273.31,74,328.02
2011-06-24 00:00:00.000,8619.88,45,191.55
2011-06-26 00:00:00.000,6175.17,30,205.84
2011-06-27 00:00:00.000,16823.86,42,400.57
2011-06-28 00:00:00.000,34704.64,48,723.01
2011-06-29 00:00:00.000,21775.43,44,494.90
2011-06-30 00:00:00.000,43834.55,59,742.96
2011-07-01 00:00:00.000,13171.82,41,321.26
2011-07-03 00:00:00.000,5977.14,24,249.05
2011-07-04 00:00:00.000,44154.75,40,1103.87
2011-07-05 00:00:00.000,40334.97,67,602.01
2011-07-06 00:00:00.000,26279.58,65,404.30
2011-07-07 00:00:00.000,31357.72,79,396.93
2011-07-08 00:00:00.000,26840.08,52,516.16
2011-07-10 00:00:00.000,5692.07,20,284.60
2011-07-11 00:00:00.000,22429.53,49,457.75
2011-07-12 00:00:00.000,25892.04,52,497.92
2011-07-13 00:00:00.000,11612.05,53,219.10
2011-07-14 00:00:00.000,32575.96,70,465.37
2011-07-15 00:00:00.000,14478.93,41,353.14
2011-07-17 00:00:00.000,17174.66,45,381.66
2011-07-18 00:00:00.000,28443.27,56,507.92
2011-07-19 00:00:00.000,49316.78,71,694.60
2011-07-20 00:00:00.000,27305.41,51,535.40
2011-07-21 00:00:00.000,30957.07,74,418.34
2011-07-22 00:00:00.000,20015.23,42,476.55
2011-07-24 00:00:00.000,26476.20,55,481.39
2011-07-25 00:00:00.000,26687.65,53,503.54
2011-07-26 00:00:00.000,21271.30,57,373.18
2011-07-27 00:00:00.000,25568.45,40,639.21
2011-07-28 00:00:00.000,55706.88,90,618.97
2011-07-29 00:00:00.000,18094.21,60,301.57
2011-07-31 00:00:00.000,33486.36,37,905.04
2011-08-01 00:00:00.000,21362.84,38,562.18
2011-08-02 00:00:00.000,14947.27,53,282.02
2011-08-03 00:00:00.000,27075.02,70,386.79
2011-08-04 00:00:00.000,61028.65,80,762.86
2011-08-05 00:00:00.000,21298.30,51,417.61
2011-08-07 00:00:00.000,7464.12,28,266.58
2011-08-08 00:00:00.000,19987.15,49,407.90
2011-08-09 00:00:00.000,26623.20,51,522.02
2011-08-10 00:00:00.000,27474.22,51,538.71
2011-08-11 00:00:00.000,72132.79,71,1015.95
2011-08-12 00:00:00.000,10049.48,42,239.27
2011-08-14 00:00:00.000,5150.18,31,166.13
2011-08-15 00:00:00.000,17205.54,48,358.45
2011-08-16 00:00:00.000,19103.71,48,397.99
2011-08-17 00:00:00.000,49392.22,47,1050.90
2011-08-18 00:00:00.000,53225.67,83,641.27
2011-08-19 00:00:00.000,17248.54,59,292.35
2011-08-21 00:00:00.000,14549.21,37,393.22
2011-08-22 00:00:00.000,27978.41,60,466.31
2011-08-23 00:00:00.000,25756.30,62,415.42
2011-08-24 00:00:00.000,37074.90,79,469.30
2011-08-25 00:00:00.000,22458.88,80,280.74
2011-08-26 00:00:00.000,25550.23,43,594.19
2011-08-28 00:00:00.000,10784.78,36,299.58
2011-08-30 00:00:00.000,31640.90,28,1130.03
2011-08-31 00:00:00.000,16118.00,72,223.86
2011-09-01 00:00:00.000,37296.60,72,518.01
2011-09-02 00:00:00.000,41745.07,67,623.06
2011-09-04 00:00:00.000,17018.49,46,369.97
2011-09-05 00:00:00.000,36844.04,60,614.07
2011-09-06 00:00:00.000,28052.62,55,510.05
2011-09-07 00:00:00.000,34125.65,45,758.35
2011-09-08 00:00:00.000,26708.00,64,417.31
2011-09-09 00:00:00.000,29317.69,68,431.14
2011-09-11 00:00:00.000,35465.47,68,521.55
2011-09-12 00:00:00.000,29039.31,80,362.99
2011-09-13 00:00:00.000,54828.45,64,856.69
2011-09-14 00:00:00.000,23360.66,68,343.54
2011-09-15 00:00:00.000,62943.81,92,684.17
2011-09-16 00:00:00.000,25858.06,50,517.16
2011-09-18 00:00:00.000,15692.33,25,627.69
2011-09-19 00:00:00.000,46212.21,79,584.96
2011-09-20 00:00:00.000,109286.21,56,1951.54
